 TICKER, GIC INDUSTRY,IPO DATE, CODE, GIC GROUP, LOGOURL, SECTOR, EXCHANGE, DESCRIPTION, TYPE,ISIN, CURRENCY NAME, CURRENCY SYMBOL, CURRENCY CODE, ADDRESS, COUNTRYISO,LEI, UPDATED AT, WEBURL, FISCAL YEAR END, EMPLOYER ID NUMBER, PHONE, NAME,CIK, INTERNATIONAL DOMESTIC, GIC SUB INDUSTRY, GIC SECTOR, INDUSTRY, COUNTRY NAME, FULL TIME EMPLOYEES, STREET, CITY, STATE, COUNTRY,ZIP, MARKET CAPITALIZATION, MARKET CAPITALIZATION MLN,EBITDA,PE RATIO,PEG RATIO, WALL STREET TARGET PRICE, BOOK VALUE, DIVIDEND SHARE, DIVIDEND YIELD, EARNINGS SHARE,EPS ESTIMATE CURRENT YEAR,EPS ESTIMATE NEXT YEAR,EPS ESTIMATE NEXT QUARTER,EPS ESTIMATE CURRENT QUARTER, MOST RECENT QUARTER, PROFIT MARGIN, OPERATING MARGINTTM, RETURN ON ASSETSTTM, RETURN ON EQUITYTTM, REVENUETTM, REVENUE PER SHARETTM, QUARTERLY REVENUE GROWTHYOY, GROSS PROFITTTM, DILUTED EPSTTM, QUARTERLY EARNINGS GROWTHYOY, TRAILINGPE, FORWARDPE, PRICE SALESTTM, PRICE BOOKMRQ, ENTERPRISE VALUE, ENTERPRISE VALUE REVENUE, ENTERPRISE VALUE EBITDA, SHARES OUTSTANDING, SHARES FLOAT, PERCENT INSIDERS, PERCENT INSTITUTIONS, SHARES SHORT, SHARES SHORT PRIOR MONTH, SHORT RATIO, SHORT PERCENT OUTSTANDING, SHORT PERCENT FLOAT, BETA,52 WEEK HIGH,52 WEEK LOW,50 DAYMA,200 DAYMA, SHORT PERCENT
AAB,,,AAB,,,Financial Services,TO,"Aberdeen International Inc., a resource investment and merchant banking company, focuses on small capitalization companies in the rare metals and renewal energy sectors. It intends to acquire equity participation in pre-IPO and early-stage public resource companies with undeveloped or undervalued resources and assets; companies in need of managerial, technical, and financial resources; companies undervalued in foreign capital markets; and companies operating in jurisdictions with low to moderate local political risk. The company was formerly known as International Catalyst Ventures Inc. and changed its name to Aberdeen International Inc. in November 2001. Aberdeen International Inc. was incorporated in 1987 and is headquartered in Toronto, Canada.",Common Stock,CA0030691012,Canadian Dollar,C$,CAD,"198 Davenport Road, Toronto, ON, Canada, M5R 1J2",CA,,1/3/2023,https://www.aberdeen.green,January,,416 861 5882,Aberdeen International Inc.,,,,,Asset Management,Canada,2,198 Davenport Road,Toronto,ON,Canada,M5R 1J2,5795079,5.7951,,,0,,0.239,0,0,-0.026,0,0,0,0,10/31/2022,0,1.8202,-0.1675,-0.3399,-6249121,-0.045,-0.955,5688665,-0.026,1.647,0,0,1.6565,0.1458,7001017,1.0819,1.0207,144876992,123180460,13.249,0,,,,,,1.6007,0.17,0.04,0.0508,0.0757,0.0004
AAV,,,AAV,,https://eodhistoricaldata.com/img/logos/TO/AAV.png,Energy,TO,"Advantage Energy Ltd., together with its subsidiaries, acquires, exploits, develops, and produces crude oil, natural gas, and natural gas liquids in the Province of Alberta, Canada. The company focuses on the development and production of oil and natural gas resource that includes 228 net sections covering an area of 145,920 net acres of Doig/Montney rights in Glacier, Valhalla, Progress, and Pipestone/Wembley. It provides natural gas, oil, and natural gas liquids primarily through marketing companies. The company was formerly known as Advantage Oil & Gas Ltd. and changed its name to Advantage Energy Ltd. in May 2021. Advantage Energy Ltd. was founded in 2001 and is headquartered in Calgary, Canada.",Common Stock,CA00791P1071,Canadian Dollar,C$,CAD,"Millennium Tower, Calgary, AB, Canada, T2P 5E9",CA,,1/3/2023,https://www.advantageog.com,December,,403 718 8000,Advantage Oil & Gas Ltd.,,,,,Oil & Gas E&P,Canada,52,Millennium Tower,Calgary,AB,Canada,T2P 5E9,1630601472,1630.6015,569886016,3.1358,0.24,14.77,8.582,0,0,3.02,1.53,1.9,0.44,0.28,9/30/2022,0.7225,0.5457,0.1452,0.4393,809299008,4.266,0.653,349172000,3.02,-0.045,3.1358,5.6243,2.4102,1.2868,2080985934,2.3191,2.2974,172186000,156952126,0.942,51.886,,,,,,2.0282,12.19,5.98,10.8206,10.2901,0.0182
ABST,,,ABST,,https://eodhistoricaldata.com/img/logos/TO/ABST.png,Technology,TO,"Absolute Software Corporation develops, markets, and provides software services that support the management and security of computing devices, applications, data, and networks for various organizations. The company's Absolute platform offer Absolute Visibility that provides information on device hardware, software, and location; Absolute Control that provide remediation capabilities, such as the ability to remotely freeze devices and delete data; Absolute Resilience, which offer remote scripting, self-healing for critical apps, investigation and recovery services, and sensitive data identification; Absolute Ransomware Response that enables organizations to assess their ransomware preparedness for endpoints, monitors their endpoint cyber hygiene across the entire device fleet and allows for an expedited endpoint recovery; Absolute VPN an enterprise solution; Absolute ZTNA that protects networks and employees with real time risk analysis; and Absolute Insights for Network provides real-time data about device, application, and network performance in a single pane of glass. The company markets its solutions through device original equipment manufacturers, distributors, and value added resellers, as well as directly to healthcare organizations, educational institutions, governmental agencies, and individual consumers. It operates in North America, the United Kingdom, Vietnam, Germany, Australia, Japan, and Latin America. Absolute Software Corporation was incorporated in 1993 and is headquartered in Vancouver, Canada.",Common Stock,CA00386B1094,Canadian Dollar,C$,CAD,"Four Bentall Centre, Vancouver, BC, Canada, V7X 1K8",CA,,1/1/2023,https://www.absolute.com,December,,604-730-9851,Absolute Software Corporation,,,,,Software-Application,Canada,0,Four Bentall Centre,Vancouver,BC,Canada,V7X 1K8,738765504,738.7655,7380000,,,18.25,-0.083,0.243,0.0238,-0.591,-0.44,-0.09,-0.08,-0.13,9/30/2022,-0.1275,-0.0023,-0.0006,-3.9992,207126000,4.076,0.224,160536000,-0.591,-0.2,0,285.7143,3.4482,161.8148,947836471,4.5761,57.2469,52246500,35300904,0.106,80.525,,,,,,0.5402,17.091,8.6227,13.7924,12.5953,0.0138
ABX,,,ABX,,https://eodhistoricaldata.com/img/logos/TO/ABX.png,Basic Materials,TO,"Barrick Gold Corporation engages in the exploration, mine development, production, and sale of gold and copper properties. It has ownership interests in producing gold mines that are located in Argentina, Canada, Côte d'Ivoire, the Democratic Republic of Congo, Dominican Republic, Mali, Tanzania, and the United States. The company also has ownership interests in producing copper mines located in Chile, Saudi Arabia, and Zambia; and various other projects located throughout the Americas and Africa. Barrick Gold Corporation was founded in 1983 and is headquartered in Toronto, Canada.",Common Stock,CA0679011084,Canadian Dollar,C$,CAD,"TD Canada Trust Tower, Toronto, ON, Canada, M5J 2S1",CA,,1/2/2023,https://www.barrick.com,December,,416 861 9911,Barrick Gold Corp,,,,,Gold,Canada,0,TD Canada Trust Tower,Toronto,ON,Canada,M5J 2S1,40896950272,40896.9503,5804000256,16.0069,-2.93,27.72,13.543,0.4,0.0312,1.45,1.11,1.09,0.29,0.15,9/30/2022,0.1639,0.3301,0.0512,0.0927,11548999680,6.503,-0.106,4917000000,1.45,-0.301,16.0069,22.2717,3.4725,1.2303,39730536369,3.4402,6.1789,1762040064,1749891733,0.605,62.819,,,,,,0.1258,32.6156,17.7519,21.7486,23.7188,0.0066
AC,,,AC,,https://eodhistoricaldata.com/img/logos/TO/AC.png,Industrials,TO,"Air Canada provides domestic, U.S. transborder, and international airline services. It offers scheduled passenger services under the Air Canada Vacations and Air Canada Rouge brand name in the Canadian market, the Canada-U.S. transborder market, and in the international market to and from Canada, as well as through capacity purchase agreements on other regional carriers. As of December 31, 2021, the company operated a fleet of 175 aircraft under the Air Canada mainline brand name comprising 97 Boeing and Airbus narrow-body aircraft, and 78 Boeing and Airbus wide-body aircraft; 123 aircraft under the Air Canada Express brand name, including 50 Mitsubishi regional jets, 48 De Havilland Dash-8 turboprop aircraft and 25 Embraer 175 aircraft; and 39 aircraft under the Air Canada Rouge brand name consisting of 14 Airbus A321 aircraft, 5 Airbus A320 aircraft, and 20 Airbus A319 aircraft. It also provides air cargo services in domestic and U.S. transborder routes, as well as on international routes between Canada and markets in Europe, Asia, South America, and Australia. In addition, the company operates, develops, markets, and distributes vacation travel packages in the Caribbean, Mexico, the United States, Europe, Central and South America, South Pacific, Australia, and Asia; offers cruise packages in North America, Europe, and the Caribbean; and provides travel loyalty programs. Air Canada was founded in 1937 and is headquartered in Saint-Laurent, Canada.",Common Stock,CA0089118776,Canadian Dollar,C$,CAD,"7373 COte Vertu Boulevard West, Saint-Laurent, QC, Canada, H4S 1Z3",CA,,1/3/2023,https://www.aircanada.com,December,,514 422 6020,Air Canada,,,,,Airlines,Canada,29600,7373 COte Vertu Boulevard West,Saint-Laurent,QC,Canada,H4S 1Z3,6944431104,6944.4311,435000000,,0.34,27.07,-5.392,0,0,-9.172,-4.52,0.82,-0.23,0.43,9/30/2022,-0.1616,-0.0351,-0.0107,-4.1787,14606999552,40.83,1.531,-374000000,-9.172,-0.078,0,18.9394,0.4656,906.9303,15432131061,1.0565,77.9401,358144992,357482572,0.272,17.261,,,,,,2.4003,25.98,15.57,18.9644,19.4802,0.033
ACAA,,,ACAA,,,,TO,,Common Stock,,Canadian Dollar,C$,CAD,,CA,,1/3/2023,,,,,Arrow Canadian Advantage Alternative Class,,,,,,Canada,,,,,,,,,,,,,,0,0,,0,0,0,0,0000-00-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,20.47,20.12,0,0,0
ACB,,,ACB,,https://eodhistoricaldata.com/img/logos/TO/ACB.png,Healthcare,TO,"Aurora Cannabis Inc., together with its subsidiaries, produces, distributes, and sells cannabis and cannabis-derivative products in Canada and internationally. The company produces, distributes, and sells medical and consumer cannabis products in Canada. It is also involved in the distribution of wholesale medical cannabis in the European Union (EU); distribution of wholesale medical cannabis in various international markets, including Australia, Caribbeans, South America, and Israel; and distribution and sale of hemp-derived cannabidiol (CBD) products in the United States (U.S.) market. In addition, the company cultivates and sells dried cannabis, cannabis oils, capsules, edible cannabis, and cannabis extracts, which are ingested in various ways, including smoking, vaporizing, and consumption in the form of oil, capsules, edibles, and extracts; and provides dried milled strains and strain specific cannabis oils. Further, it offers patient counseling and outreach services. The company's adult-use brand portfolio includes Aurora Drift, San Rafael '71, Daily Special, Whistler, Being, and Greybeard, as well as CBD brands, Reliva and KG7; and medical cannabis brands include MedReleaf, CanniMed, Aurora, and WMMC. Aurora Cannabis Inc. is headquartered in Edmonton, Canada.",Common Stock,CA05156X1087,Canadian Dollar,C$,CAD,"500 - 10355 Jasper Avenue, Edmonton, AB, Canada, T5J 1Y6",CA,,1/2/2023,https://www.auroramj.com,June,,855 279 4652,Aurora Cannabis Inc,,,,,Drug Manufacturers-Specialty & Generic,Canada,1338,500 - 10355 Jasper Avenue,Edmonton,AB,Canada,T5J 1Y6,405416256,405.4163,-164892992,,,2.03,1.852,0,0,-6.105,-0.35,-0.22,-0.1,-0.13,9/30/2022,0,-1.0849,-0.0765,-1.3422,210494000,0.875,-0.18,21225000,-6.105,-0.917,0,0,2.188,0.8801,445656200,2.1172,-0.2741,324332992,307496479,0.072,20.894,,,,,,2.9316,7.61,1.11,1.642,2.388,0.031
ACD,,,ACD,,https://eodhistoricaldata.com/img/logos/TO/ACD.png,Financial Services,TO,"Accord Financial Corp., through its subsidiaries, provides asset-based financial services to industrial and commercial enterprises primarily in Canada and the United States. The company is involved in the asset-based lending, which entails financing or purchasing receivables on a recourse basis, as well as financing other tangible assets, such as inventory and equipment; and provision of lease and equipment, working capital, and film and media production financing, as well as credit guarantees and collection services. It also offers factoring and credit investigation services; and supply chain financing for importers. The company serves customers operating in manufacturing, retail, services, wholesale, import and export, lending, apparel and textile, food and beverage, and construction sectors. Accord Financial Corp. was founded in 1978 and is based in Toronto, Canada.",Common Stock,CA00435L1085,Canadian Dollar,C$,CAD,"40 Eglinton Avenue East, Toronto, ON, Canada, M4P 3A2",CA,,1/3/2023,https://www.accordfinancial.com,December,,800 967 0015,Accord Financial Corp.,,,,,Credit Services,Canada,0,40 Eglinton Avenue East,Toronto,ON,Canada,M4P 3A2,65903604,65.9036,,7.6238,0,,12.342,0.275,0.039,1.01,0,0,0,0,9/30/2022,0.206,0.26,0.0191,0.087,42058416,4.893,-0.22,49146114,1.01,-0.323,7.6238,0,1.5873,0.6441,369388946,6.9971,24.4985,8558910,2948032,63.225,0,,,,,,1.6874,9.3305,7.5,7.868,8.4438,0.0018
ACO-X,,,ACO-X,,https://eodhistoricaldata.com/img/logos/TO/ACO-X.png,Utilities,TO,"ATCO Ltd., together with its subsidiaries, provides housing, logistics and transportation, agriculture, water, real estate, and energy and energy infrastructure solutions in Canada, Australia, and internationally. The company offers workforce and residential housing; modular facilities; construction and site support; workforce lodging; facility operations and maintenance; defense operations; and disaster and emergency management services. It also provides commercial real estate services, including sale of commercial and industrial properties; and bulk cargo and port operation services, as well as operates container port facilities. The company's portfolio includes 14 commercial real estate properties, including 417,000 square feet of office property, 60,000 square feet of industrial property, and 315 acres of land. In addition, it engages in electricity generation, distribution, transmission, and related infrastructure services; natural gas distribution; owns and operates natural gas transmission pipelines in Alberta, Saskatchewan, and northern regions of Canada, as well as in Western Australia; and builds, owns, and operates non-regulated industrial water, natural gas storage, natural gas liquids storage, and natural gas related infrastructure to serve the midstream and petrochemical sectors. Further, it sells electricity and natural gas to residential and commercial customers; and provides natural gas appliance demonstrations and small cooking schools for homemakers. ATCO Ltd. was founded in 1947 and is headquartered in Calgary, Canada. ATCO Ltd. operates as a subsidiary of Sentgraf Enterprises Ltd.",Common Stock,CA0467894006,Canadian Dollar,C$,CAD,"West Building, Calgary, AB, Canada, T3E 8B4",CA,,1/3/2023,https://www.atco.com,December,,403-292-7500,ATCO Ltd,,,,,Utilities-Diversified,Canada,6358,West Building,Calgary,AB,Canada,T3E 8B4,4802077696,4802.0777,1911000064,12.4647,,48.5,38.014,1.833,0.0436,3.4,3.87,3.51,1.13,0.62,9/30/2022,0.0792,0.2649,0.0352,0.0923,4899999744,42.955,0.185,2716000000,3.4,0.36,12.4647,12.1655,1.0051,1.1512,13976570947,2.8524,6.697,100716000,74250949,26.798,28.633,,,,,,0.7333,47.5809,38.8741,42.3614,44.3505,0.0345
ACQ,,,ACQ,,https://eodhistoricaldata.com/img/logos/TO/ACQ.png,Consumer Cyclical,TO,"AutoCanada Inc., through its subsidiaries, operates franchised automobile dealerships. The company offers a range of automotive products and services, including new and used vehicles, vehicle leasing, vehicle parts, vehicle maintenance and collision repair services, extended service contracts, and vehicle protection and other after-market products. It also arranges financing and insurance for vehicle purchases by its customers through third-party finance and insurance sources. The company sells its vehicles under the Chrysler, Dodge, Jeep, Ram, FIAT, Alfa Romeo, Chevrolet, GMC, Buick, Cadillac, Ford, Infiniti, Nissan, Hyundai, Subaru, Audi, Volkswagen, Kia, Mazda, Mercedes-Benz, BMW, MINI, Volvo, Toyota, Lincoln, Acura, Honda, and Porsche brands. As of November 7, 2022, it operated 81 franchised dealerships in eight provinces in Canada, as well as in Illinois, the United States. The company also offers used vehicles online. AutoCanada Inc. was incorporated in 2009 and is headquartered in Edmonton, Canada.",Common Stock,CA05277B2093,Canadian Dollar,C$,CAD,"#200-15511 123 Avenue NW, Edmonton, AB, Canada, T5V 0C3",CA,,1/2/2023,https://www.autocan.ca,December,,780 732 3135,Autocanada Inc,,,,,Auto & Truck Dealerships,Canada,0,#200-15511 123 Avenue NW,Edmonton,AB,Canada,T5V 0C3,590078656,590.0787,282375008,4.6807,0.62,40.45,18.915,0,0,4.98,3.63,4.32,1.05,1.29,9/30/2022,0.0242,0.0449,0.0708,0.3049,5848195072,218.099,0.346,834183000,4.98,-0.087,4.6807,6.3371,0.115,1.3783,2428139372,0.4152,7.6204,25255900,22080518,3.304,55.279,,,,,,2.6942,41.74,20.76,24.468,26.9976,0.0133
