 TICKER,DATE,EPS ACTUAL
AAB,2022-10-31,-0.0509
AAB,2022-01-31,0.0028
AAB,2021-01-31,0.0329
AAB,2020-01-31,0.0194
AAB,2019-01-31,-0.2702
AAB,2018-01-31,0.1808
AAB,2017-01-31,0.1006
AAB,2016-01-31,-0.1006
AAB,2015-01-31,-0.159
AAB,2014-01-31,-0.1889
AAB,2013-01-31,-0.355
AAB,2012-01-31,-0.4352
AAB,2011-01-31,0.3772
AAB,2010-01-31,0.1895
AAB,2009-01-31,-0.1031
AAB,2008-01-31,-0.0427
AAB,2007-01-31,0.083
AAV,2022-12-31,1.18
AAV,2021-12-31,2.0677
AAV,2020-12-31,-1.52
AAV,2019-12-31,-0.1264
AAV,2018-12-31,0.05
AAV,2017-12-31,0.5
AAV,2016-12-31,-0.09
AAV,2015-12-31,0.12
AAV,2014-12-31,0.0879
AAV,2013-12-31,-0.0209
AAV,2012-12-31,-0.0965
AAV,2011-12-31,-0.0721
AAV,2010-12-31,-0.27
AAV,2009-12-31,-0.5488
AAV,2008-12-31,-0.2094
AAV,2007-12-31,-0.0454
AAV,2006-12-31,0.7224
AAV,2005-12-31,1.2809
AAV,2004-12-31,1.072
ABST,2022-12-31,-0.41
ABST,2021-12-31,-0.27
ABST,2020-12-31,0.2
ABST,2019-12-31,0.25
ABST,2018-12-31,0.17
ABST,2017-12-31,-0.0746
ABST,2016-12-31,-0.07
ABST,2015-12-31,0.27
ABST,2014-12-31,0.11
ABST,2013-12-31,0.04
ABST,2012-12-31,0.02
ABST,2011-12-31,0.03
ABST,2010-12-31,-0.1407
ABST,2009-12-31,0.24
ABST,2008-12-31,-0.45
ABST,2007-12-31,-0.17
ABST,2006-12-31,-0.1
ABST,2005-12-31,-0.0605
ABST,2004-12-31,-0.0403
ABST,2003-12-31,-0.0457
ABX,2022-12-31,0.63
ABX,2021-12-31,1.17
ABX,2020-12-31,1.15
ABX,2019-12-31,0.52
ABX,2018-12-31,0.36
ABX,2017-12-31,0.74
ABX,2016-12-31,0.71
ABX,2015-12-31,0.29
ABX,2014-12-31,0.68
ABX,2013-12-31,2.53
ABX,2012-12-31,3.83
ABX,2011-12-31,4.69
ABX,2010-12-31,3.29
