 TICKER,REPORT DATE,DATE,BEFORE AFTER MARKET,CURRENCY,EPS ACTUAL,EPS ESTIMATE,EPS DIFFERENCE,SURPRISE PERCENT
AAB,2023-05-01,2023-04-30,BeforeMarket,CAD,,,,
AAB,2022-12-13,2022-10-31,AfterMarket,CAD,-0.0356,,,
AAB,2022-09-13,2022-07-31,AfterMarket,CAD,-0.0064,,,
AAB,2022-05-02,2022-04-30,BeforeMarket,CAD,-0.0089,,,
AAB,2022-01-31,2022-01-31,,CAD,-0.0477,,,
AAB,2021-12-12,2021-10-31,AfterMarket,CAD,-0.0491,,,
AAB,2021-09-09,2021-07-31,AfterMarket,CAD,0.0762,,,
AAB,2021-06-11,2021-04-30,AfterMarket,CAD,0.0234,,,
AAB,2021-04-30,2021-01-31,BeforeMarket,CAD,-0.0128,,,
AAB,2020-12-10,2020-10-31,AfterMarket,CAD,-0.0025,,,
AAB,2020-09-10,2020-07-31,AfterMarket,CAD,0.0319,,,
AAB,2020-06-11,2020-04-30,AfterMarket,CAD,0.0163,,,
AAB,2020-04-30,2020-01-31,BeforeMarket,CAD,0.0683,,,
AAB,2019-12-12,2019-10-31,AfterMarket,CAD,-0.0094,,,
AAB,2019-09-13,2019-07-31,AfterMarket,CAD,-0.0157,,,
AAB,2019-06-12,2019-04-30,AfterMarket,CAD,-0.0238,,,
AAB,2019-04-28,2019-01-31,AfterMarket,CAD,-0.0188,,,
AAB,2018-12-12,2018-10-31,AfterMarket,CAD,-0.0751,,,
AAB,2018-09-14,2018-07-31,AfterMarket,CAD,-0.0645,,,
AAB,2018-05-01,2018-04-30,AfterMarket,CAD,-0.1118,,,
AAB,2018-04-30,2018-01-31,,CAD,0.0592,,,
AAB,2017-12-13,2017-10-31,BeforeMarket,CAD,0.0109,,,
AAB,2017-09-14,2017-07-31,BeforeMarket,CAD,0.1449,,,
AAB,2017-05-05,2017-04-30,BeforeMarket,CAD,-0.0342,,,
AAB,2017-01-31,2017-01-31,,CAD,-0.0017,,,
AAB,2016-12-13,2016-10-31,BeforeMarket,CAD,-0.0277,,,
AAB,2016-09-14,2016-07-31,BeforeMarket,CAD,-0.0032,,,
AAB,2016-04-30,2016-04-30,,CAD,0.1332,,,
AAB,2016-01-31,2016-01-31,,CAD,-0.0052,,,
AAB,2015-10-31,2015-10-31,,CAD,-0.0115,,,
AAB,2015-07-31,2015-07-31,,CAD,-0.0891,,,
AAB,2015-04-30,2015-04-30,,CAD,0.0052,,,
AAB,2015-01-31,2015-01-31,,CAD,0.0313,,,
AAB,2014-10-31,2014-10-31,,CAD,-0.0373,,,
AAB,2014-07-31,2014-07-31,,CAD,-0.1401,,,
AAB,2014-04-30,2014-04-30,,CAD,-0.0129,,,
AAB,2014-01-31,2014-01-31,,CAD,-0.0293,,,
AAB,2013-10-31,2013-10-31,,CAD,-0.0294,,,
AAB,2013-07-31,2013-07-31,,CAD,-0.0444,,,
AAB,2013-04-30,2013-04-30,,CAD,-0.0858,,,
AAB,2013-01-31,2013-01-31,,CAD,-0.0967,,,
AAB,2012-10-31,2012-10-31,,CAD,0.0426,,,
AAB,2012-07-31,2012-07-31,,CAD,-0.1174,,,
AAB,2012-04-30,2012-04-30,,CAD,-0.1835,,,
AAB,2012-01-31,2012-01-31,,CAD,-0.2025,,,
AAB,2011-10-31,2011-10-31,,CAD,-0.0997,,,
AAB,2011-07-31,2011-07-31,,CAD,-0.0881,,,
AAB,2011-04-30,2011-04-30,,CAD,-0.0449,,,
AAB,2011-01-31,2011-01-31,,CAD,0.2314,,,
AAB,2010-10-31,2010-10-31,,CAD,0.1994,,,
AAB,2010-07-31,2010-07-31,,CAD,-0.074,,,
AAB,2010-04-30,2010-04-30,,CAD,0.0204,,,
AAB,2010-01-31,2010-01-31,,CAD,0.094,,,
AAB,2009-10-31,2009-10-31,,CAD,0.0583,,,
AAB,2009-07-31,2009-07-31,,CAD,0.0054,,,
AAB,2009-04-30,2009-04-30,,CAD,0.0318,,,
AAB,2009-01-31,2009-01-31,,CAD,0.2233,,,
AAB,2008-10-31,2008-10-31,,CAD,-0.4572,,,
AAB,2008-07-31,2008-07-31,,CAD,0.0139,,,
AAB,2008-04-30,2008-04-30,,CAD,0.1169,,,
AAB,2008-01-31,2008-01-31,,CAD,0.0338,,,
AAB,2007-10-31,2007-10-31,,CAD,0.0346,,,
AAB,2007-07-31,2007-07-31,,CAD,-0.0332,,,
AAB,2007-04-30,2007-04-30,,CAD,-0.0779,,,
AAB,2007-01-31,2007-01-31,,CAD,0.05,,,
AAB,2006-10-31,2006-10-31,,CAD,0.0122,,,
AAB,2006-07-31,2006-07-31,,CAD,0.0201,,,
AAB,2006-04-30,2006-04-30,,CAD,0.0007,,,
AAV,2023-10-25,2023-09-30,AfterMarket,CAD,,,,
AAV,2023-07-26,2023-06-30,AfterMarket,CAD,,,,
AAV,2023-04-26,2023-03-31,AfterMarket,CAD,,,,
AAV,2023-02-22,2022-12-31,AfterMarket,CAD,,0.39,,
AAV,2022-10-27,2022-09-30,AfterMarket,CAD,0.22,0.28,-0.06,-21.4286
AAV,2022-07-28,2022-06-30,AfterMarket,CAD,0.86,0.45,0.41,91.1111
