 TICKER,DATE,PERIOD,GROWTH,EARNINGS ESTIMATE AVG,EARNINGS ESTIMATE LOW,EARNINGS ESTIMATE HIGH,EARNINGS ESTIMATE YEAR AGO EPS,EARNINGS ESTIMATE NUMBER OF ANALYSTS,EARNINGS ESTIMATE GROWTH,REVENUE ESTIMATE AVG,REVENUE ESTIMATE LOW,REVENUE ESTIMATE HIGH,REVENUE ESTIMATE YEAR AGO EPS,REVENUE ESTIMATE NUMBER OF ANALYSTS,REVENUE ESTIMATE GROWTH,EPS TREND CURRENT,EPS TREND7DAYS AGO,EPS TREND30DAYS AGO,EPS TREND60DAYS AGO,EPS TREND90DAYS AGO,EPS REVISIONS UP LAST7DAYS,EPS REVISIONS UP LAST30DAYS,EPS REVISIONS DOWN LAST7DAYS,EPS REVISIONS DOWN LAST30DAYS
AAV,2023-12-31,+1y,0.2420,1.9000,1.4800,2.5900,1.5300,5.0000,0.2420,757670000.00,725000000.00,822000000.00,,3.00,-0.1940,1.9000,1.9000,1.9400,2.0800,1.8900,0.0000,0.0000,,0.0000
AAV,2023-03-31,+1q,5.3000,0.6300,0.6200,0.6400,0.1000,2.0000,5.3000,0.00,0.00,0.00,,0.00,,0.6300,0.6300,0.6100,0.5900,0.5800,0.0000,1.0000,,0.0000
AAV,2022-12-31,0y,-0.2610,1.5300,1.4300,1.6100,2.0700,4.0000,-0.2610,939500000.00,936000000.00,943000000.00,,2.00,1.0230,1.5300,1.5300,1.5200,1.5100,1.6400,0.0000,1.0000,,0.0000
AAV,2022-09-30,0q,0.2730,0.2800,0.2800,0.2900,0.2200,2.0000,0.2730,0.00,0.00,0.00,,0.00,,0.2800,0.2800,0.3000,0.4700,0.4500,0.0000,0.0000,,1.0000
AAV,2022-06-30,0q,10.2500,0.4500,0.4400,0.4600,0.0400,2.0000,10.2500,0.00,0.00,0.00,,0.00,,0.4500,0.4500,0.4200,0.3500,0.2800,1.0000,2.0000,,0.0000
AAV,2022-03-31,0q,,0.2700,0.2300,0.3200,0.0000,2.0000,,0.00,0.00,0.00,,0.00,,0.2700,0.2700,0.2500,0.2800,0.2500,0.0000,1.0000,,0.0000
AAV,2021-12-31,0y,1.2980,0.4500,0.4200,0.4800,-1.5100,4.0000,1.2980,476500000.00,475000000.00,478000000.00,,2.00,1.0310,0.4500,0.4500,0.4700,0.4500,0.4400,0.0000,0.0000,0.0000,0.0000
AAV,2021-09-30,0q,1.9090,0.1000,0.0800,0.1100,-0.1100,3.0000,1.9090,29190000.00,29190000.00,29190000.00,,1.00,-0.4920,0.1000,0.1000,0.0600,0.0800,0.0800,0.0000,2.0000,0.0000,
AAV,2021-06-30,0q,1.4550,0.0500,0.0400,0.0600,-0.1100,2.0000,1.4550,93597000.00,117560000.00,117560000.00,,1.00,1.0110,0.0500,0.0500,0.0500,0.0300,0.0300,0.0000,1.0000,0.0000,
AAV,2021-03-31,0q,1.0490,0.0700,0.0700,0.0800,-1.4300,2.0000,1.0490,110660000.00,110660000.00,110660000.00,,1.00,,0.0700,0.0700,0.0600,0.0400,0.0200,0.0000,1.0000,0.0000,
