 TICKER, CODE, EXCHANGE, NAME
AAB,A8H,F,Aberdeen International Inc
AAB,A8H,BE,ABERDEEN INTL
AC,ADH2,F,Air Canada
AEM,AEM,US,Agnico Eagle Mines Limited
AEZS,AEZS,US,Aeterna Zentaris Inc
AEZS,ET82,F,Aeterna Zentaris Inc
AGI,AGI,US,Alamos Gold Inc
AIM,GA7,F,Aimia Inc
ALYA,ALYA,US,Alithya Group inc Class A
AOI,,,
AOT,BHQ,BE,ASCOT RESOURCES
AOT,BHQ,MU,ASCOT RESOURCES
AOT,BHQ,F,ASCOT RESOURCES - Frankfurt Stock Exchang
APS,APTO,US,Aptose Biosciences Inc
APY,APF,LSE,Anglo Pacific Group
AR,A8U,STU,ARGONAUT GOLD (A8U.SG)
AR,A8U,F,Argonaut Gold Inc
ARE,2AE,MU,Aecon Group Inc
ARE,2AE,F,Aecon Group Inc.
ARG,RE8,STU,AMERIGO RESOURCES (RE8.SG)
ARG,RE8,BE,AMERIGO RESOURCES
ARG,RE8,F,Amerigo Resources Ltd
ARX,8RC,STU,ARC RES (8RC.SG)
ARX,8RC,F,ARC Resources Ltd
ASM,ASM,US,Avino Silver & Gold Mines Ltd
ASM,GV6,F,Avino Silver & Gold Mines Ltd
ASM,GV6,BE,AVINO SILVER & GOLD
AUMN,AUMN,US,Golden Minerals Company
AYM,ATYM,LSE,Atalaya Mining Ltd
BB,BB,US,BlackBerry Ltd
BB,RIM,F,Richmont Mines Inc
BHC,BHC,US,Bausch Health Companies Inc
BHC,BVF,F,Bausch Health Companies Inc
BIR,BIR,F,Bank of Ireland
BLDP,BLD,F,Ballard Power Systems Inc
BLDP,BLDP,US,Ballard Power Systems Inc
BLU,BLU,US,BELLUS Health Inc.
BNE,BNE,BE,BURCON NUTRASCIENCE
BNE,BNE,F,Burcon NutraScience Corporation
BNE,BNE,STU,BURCON NUTRASCIENCE (BNE.SG)
BNG,8BE,F,Bengal Energy Ltd
BNS,BNS,US,Bank of Nova Scotia
BSX,VE7,F,Belo Sun Mining Corp
BSX,VE7,STU,BELO SUN MNG (VE7.SG)
BTO,BTG,US,B2Gold Corp
CAE,CAE,US,CAE Inc.
CAE,CAE,F,CAE INC - Frankfurt Stock Exchang
CEE,7CT,F,Centamin PLC
CEE,7CT,BE,CENTAMIN NPV
CEE,CEY,LSE,Centamin PLC
CFX,8CP,F,Canfor Pulp Products Inc
CFX,8CP,STU,CANFOR PULP (8CP.SG)
CGG,2099,HK,China Gold International Resources
CGG,CGG,F,Shougang Concord Grand (Group) Limited
CGG,CGG,BE,SHOUGANG CC GRAND
CGO,,,
CGX,CX0,F,Cineplex Inc
CIGI,CIGI,US,Colliers International Group Inc Bats
CIX,CF7,F,CI Financial Corp
CLS,CLS,US,Celestica Inc.
CM,CM,US,Canadian Imperial Bank Of Commerce
CMG,5TJ,F,Computer Modelling Group Ltd
CMG,5TJ,STU,COMPUTER MODELLING (5TJ.SG)
CMG,5TJ,BE,COMPUTER MODELLING
CMMC,C6C,AU,Copper Mountain Mining Corporation
CMMC,COQ,F,Copper Mountain Mining Corporation
CMMC,COQ,BE,COPPER MOUNTAIN
CNE,3B6A,BE,CANACOL ENERGY
CNE,3B6A,STU,CANACOL ENERGY (3B6A.SG)
CNE,3B6A,F,Canacol Energy Ltd
CNQ,CNQ,US,Canadian Natural Resources Ltd
CNR,CNI,US,Canadian National Railway Co
CNR,CNIC34,SA,Canadian National Railway Company
COG,W5XA,STU,CONDOR GOLD (W5XA.SG)
COG,W5XA,BE,CONDOR RESOURCES
COG,W5XA,F,Condor Gold Plc
CP,CP,US,Canadian Pacific Railway Ltd
CPX,2CP,F,Capital Power Corporation
CR,C5X,F,Crew Energy Inc
CRON,7CI,STU,Century Iron Mines Corporation 
CRON,7CI,F,Cronos Group Inc
CRON,CRON,US,Cronos Group Inc
CS,OUW,STU,CAPSTONE MINING (OUW.SG)
CS,OUW,BE,CAPSTONE MINING
CS,OUW,F,Capstone Mining Corp
CVE,CVE,US,Cenovus Energy Inc
DIAM,GOC,STU,SHORE GOLD  (GOC.SG)
DIAM,GOC,F,Star Diamond Corporation
DIAM,GOC,BE,SHORE GOLD 
DML,DNN,US,Denison Mines Corp
DNT,GW4N,BE,CANDENTE COPPER
DNT,GW4N,MU,CANDENTE COPPER
DNT,GW4N,STU,CANDENTE COPPER (GW4N.SG)
DNT,GW4N,F,Candente Copper Corp
DOO,B15A,F,BRP Inc
DOO,DOOO,US,BRP Inc
DSG,DSGX,US,Descartes Systems Group Inc
EDR,EJD,F,Endeavour Silver Corp
EDR,EXK,US,Endeavour Silver Corp.
EFR,UUUU,US,Energy Fuels Inc
EFX,7EX,F,Enerflex Ltd
ELD,EGO,US,Eldorado Gold Corp
ENB,ENBA,US,Enbridge 6.375 Fixed to Floating Rate Subordinated Notes Series 2018 B Exp 2078
EQX,EQX,US,Equinox Gold Corp
ESN,07E,F,Essential Energy Services Ltd
EXE,,,
FNV,FNV,US,Franco-Nevada Corporation
FR,AG,US,First Majestic Silver Corp
FRX,FENC,US,Fennec Pharmaceuticals Inc
FTS,FTS,US,Fortis Inc
FVI,FSM,US,Fortuna Silver Mines Inc
FVI,FVI,F,Fortuna Silver Mines Inc
GEI,8GB,F,Gibson Energy Inc
GEO,7GD,F,Geodrill Ltd
GEO,7GD,BE,GEODRILL NPV
GFL,GFL,US,Gfl Environmental Holdings Inc
GFL,GFLU,US,GFL Environmental Inc
GGA,GGAN,MX,Goldgroup Mining Inc
GGD,GGD,F,GoGold Resources Inc
GGD,GGD,MU,GOGOLD RES
GIL,GIL,US,Gildan Activewear Inc.
GIL,GIL,F,DMG MORI AKTIENGESELLSCHAFT
GOOS,GOOS,US,Canada Goose Holdings Inc
GTE,GTE,US,Gran Tierra Energy Inc
GTE,GTE,LSE,Gran Tierra Energy Inc
GWR,GWRS,US,Global Water Resources Inc
HBM,HBM,F,HORNBACH Baumarkt AG
HBM,HBM,US,Hudbay Minerals Inc.
HCG,7HC,F,Home Capital Group Inc
HZM,HZM,LSE,Horizonte Minerals
