 TICKER, NAME, TITLE, YEAR BORN
AAB,Mr. Martin  Schuermann,Exec. Chairman,1965
AAB,Mr. Christopher  Younger,CEO & Director,1985
AAB,"Mr. Ryan Jeffery Ptolemy CFA, CGA, CPA",CFO & Corp. Sec.,1976
AAB,"Mr. Stan  Bharti C.Eng, DIC, M.Sc., P.Eng",Exec. Director,1952
AAB,Mr. Kenny  Choi,Legal Counsel,1991
AAB,Mr. Channce  Fuller,Pres & CEO of AES-100,NA
AAV,"Mr. Michael E. Belenkie B.Sc., P. Eng.","Pres, CEO & Director",NA
AAV,Mr. Craig  Blackwood,Chief Financial Officer,1969
AAV,Mr. David  Sterna,VP of Marketing & Commercial,NA
AAV,"Mr. Neil G. Bokenfohr B.Sc, P.Eng.",Sr. VP,NA
AAV,Mr. Geoff  Keyser,VP of Corp. Devel.,NA
AAV,Mr. Anthony B. Coombs,Controller,NA
AAV,Mr. Jay Patrick Reid,Corp. Sec.,1964
ABST,Ms. Christy  Wyatt,"CEO, Pres & Director",1972
ABST,Mr. Peter  Chess,Gen. Counsel & Corp. Sec.,NA
ABST,Mr. Mark  Grace,Chief Revenue Officer,NA
ABST,Mr. James M. Lejeal,Chief Financial Officer,1965
ABST,Dr. Nicholas Benedict Van Someren,Chief Technology Officer,1967
ABST,Joo-Hun  Kim,"Investor Relations, MKR Group",NA
ABST,Ms. Alice Quinn Hansen,Chief Marketing Officer,NA
ABST,Mr. Robert  Booker,Exec. VP of HR,1966
ABST,Mr. Matt  Meanchoff,Chief Customer Officer,NA
ABST,Ms. Karen  Reynolds,Chief Communications Officer,NA
ABX,Mr. John Lawson Thornton,Non-Independent Exec. Chairman & Member of International Advisory Board,1954
ABX,Dr. Dennis Mark Bristow,"Pres, CEO, Member of International Advisory Board & Director",1959
ABX,Mr. Graham Patrick Shuttleworth,Sr. EVP & CFO,1969
ABX,Mr. Kevin J. Thomson,Sr. Exec. VP of Strategic Matters,1957
ABX,Mr. Mark F. Hill B.Eng,Chief Operating Officer of Latin America & Asia Pacific,1965
ABX,Mr. Deni  Nicoski,Sr. VP of Investor Relations,NA
ABX,Ms. Poupak  Bahamin,Gen. Counsel,NA
ABX,Ms. Lois V. Wark,Group Corp. Communications & Investor Relations Exec.,1956
ABX,Mr. Darian Kevin Rich,HR Exec.,1961
ABX,Mike  Estes,Chief Financial Officer of Barrick Nevada,NA
AC,Mr. Michael Stewart Rousseau,"CEO, Pres & Director",1958
AC,Mr. Amos S. Kazzaz,Exec. VP & CFO,1956
AC,Mr. Craig  Landry,Exec. VP & Chief Operations Officer,NA
AC,Ms. Arielle  Meloul-Wechsler,Exec. VP and Chief HR & Public Affairs,1968
AC,Ms. Lucie  Guillemette,Exec. VP & Chief Commercial Officer,NA
AC,Mr. Melvin  Crocker,Chief Information Officer,NA
AC,Valerie  Durand,Head of Investor Relations & Corp. Sustainability,NA
AC,Mr. Marc B. Barbeau,Exec. VP & Chief Legal Officer,NA
AC,Mr. Mark Youssef Nasr,"Sr. VP of Products, Marketing & eCommerce",NA
AC,Mr. John Alec MacLeod,VP of Global Sales & Alliances,1960
ACB,Mr. Miguel  Martin,CEO & Director,1972
ACB,Mr. Glen  Ibbott,Chief Financial Officer,NA
ACB,Mr. Alex  Miller,Exec. VP of Operations & Supply Chain,NA
ACB,Ms. Lori  Schick,Exec. VP of HR,NA
