 TICKER,DATE,DATE FORMATTED,SHARES MLN,SHARES
AAB,2020,2020-12-31,112.0523,112052300
AAB,2019,2019-12-31,96.0523,96052300
AAB,2018,2018-12-31,96.0523,96052300
AAB,2017,2017-12-31,95.3538,95353800
AAB,2016,2016-12-31,88.9123,88912300
AAB,2015,2015-12-31,96.6583,96658300
AAB,2014,2014-12-31,87.3494,87349400
AAB,2013,2013-12-31,85.9680,85968000
AAB,2012,2012-12-31,87.9951,87995100
AAB,2011,2011-12-31,87.3931,87393100
AAB,2010,2010-12-31,90.2614,90261400
AAB,2009,2009-12-31,87.5038,87503800
AAB,2008,2008-12-31,97.6286,97628600
AAB,2007,2007-12-31,102.9307,102930700
AAB,2006,2006-12-31,38.0647,38064700
AAB,2005,2005-12-31,16.0402,16040199.999999998
AAB,2004,2004-12-31,10.2040,10204000
AAB,2003,2003-12-31,2.7203,2720300
AAB,2002,2002-12-31,2.7203,2720300
AAV,2020,2020-12-31,188.1128,188112800
AAV,2019,2019-12-31,188.1128,188112800
AAV,2018,2018-12-31,188.1128,188112800
AAV,2017,2017-12-31,188.1128,188112800
AAV,2016,2016-12-31,188.1128,188112800
AAV,2015,2015-12-31,188.1128,188112800
AAV,2014,2014-12-31,188.1128,188112800
AAV,2013,2013-12-31,188.1128,188112800
AAV,2012,2012-12-31,188.1128,188112800
AAV,2011,2011-12-31,188.1128,188112800
AAV,2010,2010-12-31,188.1128,188112800
AAV,2009,2009-12-31,188.1128,188112800
AAV,2008,2008-12-31,188.1128,188112800
AAV,2007,2007-12-31,188.1128,188112800
AAV,2006,2006-12-31,188.1128,188112800
AAV,2005,2005-12-31,188.1128,188112800
AAV,2004,2004-12-31,188.1128,188112800
AAV,2003,2003-12-31,188.1128,188112800
AAV,2002,2002-12-31,188.1128,188112800
AAV,2001,2001-12-31,188.1128,188112800
AAV,1998,1998-12-31,13.7500,13750000
AAV,1997,1997-12-31,13.8085,13808500
AAV,1996,1996-12-31,13.3708,13370800
AAV,1995,1995-12-31,17.5769,17576900
AAV,1994,1994-12-31,16.6667,16666699.999999998
AAV,1993,1993-12-31,15.7143,15714300
AAV,1992,1992-12-31,19.6471,19647100
AAV,1991,1991-12-31,20.9091,20909100
AAV,1990,1990-12-31,20.0001,20000100
AAV,1989,1989-12-31,23.5897,23589700
AAV,1988,1988-12-31,24.7945,24794500
AAV,1987,1987-12-31,21.5490,21549000
AAV,1986,1986-12-31,17.7500,17750000
AAV,1985,1985-12-31,188.1128,188112800
ABST,2020,2020-12-31,52.2465,52246500
ABST,2019,2019-12-31,43.8594,43859400
ABST,2018,2018-12-31,40.4833,40483300
ABST,2017,2017-12-31,39.9936,39993600
ABST,2016,2016-12-31,39.0190,39019000
ABST,2015,2015-12-31,41.6597,41659700
ABST,2014,2014-12-31,43.9928,43992800
ABST,2013,2013-12-31,42.8957,42895700
ABST,2012,2012-12-31,42.5251,42525100
ABST,2011,2011-12-31,43.1994,43199400
ABST,2010,2010-12-31,45.1367,45136700
ABST,2009,2009-12-31,46.2282,46228200
ABST,2008,2008-12-31,48.1052,48105200
ABST,2007,2007-12-31,47.0677,47067700
ABST,2006,2006-12-31,44.6591,44659100
ABST,2005,2005-12-31,42.5219,42521900
ABST,2004,2004-12-31,32.5149,32514899.999999996
ABST,2003,2003-12-31,32.0323,32032300
ABST,2002,2002-12-31,38.9031,38903100
ABST,2001,2001-12-31,39.9700,39970000
ABST,2000,2000-12-31,40.5975,40597500
ABST,1999,1999-12-31,15.9301,15930100
ABX,2020,2020-12-31,1778.0000,1778000000
ABX,2019,2019-12-31,1778.0000,1778000000
ABX,2018,2018-12-31,1778.0000,1778000000
ABX,2017,2017-12-31,1778.0000,1778000000
ABX,2016,2016-12-31,1778.0000,1778000000
ABX,2015,2015-12-31,1778.0000,1778000000
ABX,2014,2014-12-31,1778.0000,1778000000
ABX,2013,2013-12-31,1778.0000,1778000000
ABX,2012,2012-12-31,1778.0000,1778000000
ABX,2011,2011-12-31,1778.0000,1778000000
ABX,2010,2010-12-31,1778.0000,1778000000
ABX,2009,2009-12-31,1778.0000,1778000000
ABX,2008,2008-12-31,1778.0000,1778000000
ABX,2007,2007-12-31,1778.0000,1778000000
ABX,2006,2006-12-31,1778.0000,1778000000
ABX,2005,2005-12-31,1778.0000,1778000000
ABX,2004,2004-12-31,1778.0000,1778000000
ABX,2003,2003-12-31,1778.0000,1778000000
ABX,2002,2002-12-31,1778.0000,1778000000
ABX,2001,2001-12-31,1778.0000,1778000000
ABX,2000,2000-12-31,1778.0000,1778000000
ABX,1999,1999-12-31,1778.0000,1778000000
ABX,1998,1998-12-31,1778.0000,1778000000
ABX,1997,1997-12-31,1778.0000,1778000000
ABX,1996,1996-12-31,1778.0000,1778000000
ABX,1995,1995-12-31,1778.0000,1778000000
ABX,1994,1994-12-31,1778.0000,1778000000
ABX,1993,1993-12-31,1778.0000,1778000000
ABX,1992,1992-12-31,1778.0000,1778000000
ABX,1991,1991-12-31,1778.0000,1778000000
ABX,1990,1990-12-31,1778.0000,1778000000
ABX,1989,1989-12-31,1778.0000,1778000000
ABX,1988,1988-12-31,1778.0000,1778000000
ABX,1987,1987-12-31,1778.0000,1778000000
ABX,1986,1986-12-31,1778.0000,1778000000
AC,2020,2020-12-31,297.0000,297000000
AC,2019,2019-12-31,297.0000,297000000
AC,2018,2018-12-31,297.0000,297000000
AC,2017,2017-12-31,297.0000,297000000
AC,2016,2016-12-31,297.0000,297000000
AC,2015,2015-12-31,297.0000,297000000
AC,2014,2014-12-31,297.0000,297000000
AC,2013,2013-12-31,297.0000,297000000
AC,2012,2012-12-31,297.0000,297000000
AC,2011,2011-12-31,297.0000,297000000
AC,2010,2010-12-31,297.0000,297000000
AC,2009,2009-12-31,297.0000,297000000
AC,2008,2008-12-31,297.0000,297000000
AC,2007,2007-12-31,297.0000,297000000
