 TICKER,DATE,EPS ACTUAL
20MICRONS,2022-12-31,-1.79
20MICRONS,2020-03-31,6.83
20MICRONS,2019-03-31,12.39
20MICRONS,2018-03-31,7.68
20MICRONS,2011-03-31,0.24
3IINFOLTD,2022-12-31,0
3MINDIA,2022-12-31,0
5PAISA,2022-12-31,0
63MOONS,2022-12-31,0
AAATECH,2022-09-30,0
AAKASH,2022-09-30,0.3166
AAKASH,2021-12-31,3.2217
AAKASH,2020-12-31,0.2033
AARTIDRUGS,2022-12-31,0
AARTIIND,2022-12-31,0
AARVEEDEN,2022-12-31,0
AARVI,2022-09-30,5.6868
AARVI,2022-03-31,8.1624
AARVI,2021-03-31,7.0754
AAVAS,2022-12-31,11.24
AAVAS,2022-03-31,40.68
AAVAS,2021-03-31,11.06
ABAN,2022-12-31,-53.6
ABB,2022-12-31,18.19
ABB,2021-12-31,12.59
ABB,2017-12-31,19.73
ABB,2016-12-31,6.93
ABBOTINDIA,2022-12-31,0
ABCAPITAL,2022-12-31,0
ABCAPITAL,2018-03-31,1.92
ABFRL,2022-12-31,0
ABFRL,2022-03-31,1.74
ABFRL,2018-03-31,0.63
ABFRL,2017-03-31,0.12
ACC,2022-12-31,25.6
ACC,2021-12-31,41.63
ACC,2018-12-31,41.58
ACC,2017-12-31,48.63
ACC,2016-12-31,4.83
ACCELYA,2022-12-31,30.76
ACCELYA,2017-06-30,62.88
ACCELYA,2016-06-30,16.07
ACCURACY,2022-09-30,0
ACE,2022-12-31,0
ACE,2018-03-31,4.49
ACE,2017-03-31,0.9
ADANIENT,2022-12-31,0
ADANIGREEN,2022-12-31,0
ADANIPORTS,2022-12-31,26.55
ADANIPOWER,2022-12-31,-1.14
ADANIPOWER,2018-03-31,-5.42
ADANITRANS,2022-12-31,0
ADFFOODS,2022-12-31,0
ADORWELD,2022-12-31,0
ADVANIHOTR,2022-12-31,0
ADVENZYMES,2022-12-31,0
ADVENZYMES,2018-03-31,8.1
AEGISCHEM,2022-12-31,0
AFFLE,2022-12-31,8.56
AFFLE,2022-03-31,30.7
AFFLE,2021-03-31,7.01
AGARIND,2022-12-31,0
AGI,2022-12-31,0
AGROPHOS,2022-09-30,1.8498
AGROPHOS,2022-03-31,2.8804
AGROPHOS,2021-03-31,1.5735
AGROPHOS,2020-03-31,1.9335
AHLADA,2022-09-30,0
AHLEAST,2017-09-30,1.4
AIAENG,2022-12-31,20.19
AIAENG,2022-03-31,35.22
AIAENG,2021-03-31,38.15
AIAENG,2018-03-31,39.68
AIAENG,2017-03-31,24.96
AIRAN,2022-09-30,0.198
AIRAN,2022-03-31,0.769
AIRAN,2021-03-31,0.4684
AIRAN,2020-03-31,0.5377
AJANTPHARM,2022-12-31,46.35
AJANTPHARM,2018-03-31,27.49
AJANTPHARM,2017-03-31,12.95
AJMERA,2017-09-30,4.09
AKASH,2022-09-30,0.1286
AKASH,2022-03-31,1.3502
AKASH,2021-03-31,0.6841
AKSHOPTFBR,2022-12-31,0
AKZOINDIA,2022-12-31,0
ALEMBICLTD,2022-12-31,0
ALICON,2022-12-31,7.82
ALICON,2017-03-31,7.15
ALKEM,2022-12-31,38.35
ALKEM,2022-03-31,132.4
ALKEM,2018-03-31,65.24
ALKEM,2017-03-31,30.98
ALKYLAMINE,2022-12-31,0
ALLCARGO,2022-12-31,0
ALLCARGO,2018-03-31,7.22
ALLSEC,2017-09-30,11.22
ALOKINDS,2022-12-31,0
ALPA,2018-03-31,-1.33
AMARAJABAT,2022-12-31,0
AMBER,2022-09-30,23.34
AMBIKCO,2022-12-31,0
AMBIKCO,2017-03-31,24.32
AMBUJACEM,2022-12-31,0
AMIORG,2022-06-30,4.08
AMRUTANJAN,2022-12-31,0
ANANTRAJ,2022-12-31,0
ANDHRACEMT,2022-12-31,0
ANDHRAPAP,2022-12-31,0
ANDREWYU,2022-12-31,0
ANIKINDS,2022-12-31,0
ANSALAPI,2022-12-31,0
ANUP,2022-12-31,0
ANURAS,2022-03-31,11.97
APARINDS,2022-12-31,0
APARINDS,2018-03-31,37.65
APCOTEXIND,2022-12-31,0
APEX,2022-12-31,0
APEX,2022-03-31,13.15
APEX,2018-03-31,26.57
APLAPOLLO,2022-12-31,0
APLLTD,2022-12-31,3.43
APLLTD,2022-03-31,42.8
APLLTD,2018-03-31,21.9
APLLTD,2017-03-31,9.53
APOLLO,2022-12-31,0
APOLLOHOSP,2022-12-31,24.04
APOLLOHOSP,2018-03-31,16.77
APOLLOHOSP,2017-03-31,8.69
APOLLOPIPE,2022-12-31,0
APOLLOTYRE,2022-12-31,8.6
APOLLOTYRE,2017-03-31,9.27
APTECHT,2022-12-31,0
APTUS,2022-09-30,4.85
ARCHIDPLY,2022-12-31,0
ARCHIDPLY,2018-03-31,0.32
ARIHANTSUP,2022-12-31,0
AROGRANITE,2022-12-31,0
ARROWGREEN,2022-12-31,0
ARSHIYA,2022-12-31,0
ARTNIRMAN,2022-09-30,0
ARVIND,2022-12-31,21.45
ARVIND,2017-03-31,6.97
ARVINDFASN,2022-12-31,0
ARVSMART,2022-12-31,0
ARVSMART,2018-03-31,6.44
ASAHIINDIA,2022-12-31,0
ASAHISONG,2022-12-31,0
ASAL,2022-12-31,0
ASALCBR,2022-12-31,0
ASHIANA,2022-12-31,0
ASHIANA,2017-03-31,7.47
ASHOKA,2022-12-31,0
ASHOKA,2018-03-31,8.97
ASHOKA,2017-03-31,5.73
ASHOKLEY,2022-12-31,2.93
ASHOKLEY,2018-03-31,5.36
ASIANENE,2022-12-31,0
ASIANHOTNR,2022-12-31,0
ASIANPAINT,2018-06-30,5.82
ASIANPAINT,2018-03-31,20.52
ASIANPAINT,2017-03-31,14.64
ASIANTILES,2022-12-31,0
ASIANTILES,2020-03-31,3.93
ASIANTILES,2018-03-31,11.45
ASTEC,2022-12-31,0
ASTEC,2022-03-31,39.21
ASTEC,2018-03-31,8.77
ASTERDM,2022-12-31,2.31
ASTERDM,2022-03-31,11.07
ASTRAL,2022-12-31,12.73
ASTRAL,2018-03-31,10.19
ASTRAL,2017-03-31,5.74
ASTRAMICRO,2022-12-31,0
ASTRAZEN,2022-12-31,0
ATFL,2022-12-31,9.91
ATFL,2017-03-31,6.39
ATGL,2022-12-31,0
ATLANTA,2022-12-31,0
ATLANTA,2017-03-31,2.65
ATUL,2022-12-31,57.48
ATUL,2017-03-31,41.27
AUBANK,2022-12-31,0
AUBANK,2018-03-31,5.54
AURIONPRO,2022-12-31,6.07
AUROPHARMA,2022-12-31,31.82
AUROPHARMA,2018-03-31,41.36
AURUM,2022-12-31,0
AUSOMENT,2022-12-31,0
AUTOAXLES,2022-12-31,0
AUTOIND,2022-12-31,0
AVADHSUGAR,2022-12-31,0
AVANTIFEED,2022-12-31,0
AVTNPL,2022-12-31,0.54
AWHCL,2022-12-31,0
AWHCL,2022-03-31,24.01
AXISBANK,2022-12-31,0
AXISCADES,2022-12-31,0
BAJAJ-AUTO,2022-12-31,78.3
BAJAJ-AUTO,2018-03-31,141.6
BAJAJ-AUTO,2017-03-31,27.7
BAJAJCON,2022-12-31,0
BAJAJELEC,2022-12-31,0
BAJAJFINSV,2022-12-31,225.3
BAJAJFINSV,2017-03-31,33.6
BAJAJHLDNG,2022-12-31,0
BAJFINANCE,2022-12-31,0
BALAJITELE,2022-12-31,0
BALAMINES,2022-12-31,0
BALAXI,2022-03-31,47.6578
BALAXI,2021-03-31,38.1393
BALAXI,2020-03-31,8.4645
BALAXI,2019-03-31,6.4669
BALAXI,2018-03-31,-2.5325
BALAXI,2017-03-31,-2.6005
BALAXI,2016-03-31,-0.0996
BALKRISIND,2022-12-31,0
BALMLAWRIE,2018-03-31,7.71
BALPHARMA,2022-12-31,0
BALRAMCHIN,2022-12-31,0
BALRAMCHIN,2018-03-31,9.41
BANARISUG,2022-12-31,0
BANCOINDIA,2022-12-31,0
BANDHANBNK,2022-12-31,10.43
BANKA,2022-09-30,0
BANKBARODA,2022-12-31,0
BANKBARODA,2018-03-31,-10.53
BANKINDIA,2022-12-31,0
BANKINDIA,2018-03-31,-50.01
BANSWRAS,2022-12-31,0
BARBEQUE,2022-12-31,0
BASF,2022-12-31,114.4
BASF,2018-03-31,10.59
BASML,2022-12-31,0
BATAINDIA,2022-12-31,0
BAYERCROP,2022-12-31,0
BBL,2022-12-31,17.07
BBOX,2022-12-31,0
BBTC,2022-12-31,0
BCG,2022-12-31,0
BCLIND,2022-12-31,0
BDL,2022-12-31,2.17
BDL,2022-03-31,0.87
BECTORFOOD,2022-12-31,0
BEL,2022-12-31,1.43
BEL,2022-03-31,6.35
BEL,2018-03-31,5.87
BEL,2017-03-31,4.39
BEML,2022-12-31,0
BEPL,2022-12-31,0
BERGEPAINT,2022-12-31,0
BFUTILITIE,2022-12-31,0
BHAGCHEM,2022-12-31,0
BHAGERIA,2022-12-31,0
BHAGYANGR,2022-12-31,0
BHARATFORG,2022-12-31,0
BHARATGEAR,2022-12-31,0
BHARATRAS,2018-09-30,143.03
BHARTIARTL,2022-12-31,0
BHEL,2022-12-31,-0.52
BHEL,2022-03-31,3.41
BHEL,2017-03-31,0.84
BIGBLOC,2022-12-31,0
