 TICKER,DATE,PERIOD,GROWTH,EARNINGS ESTIMATE AVG,EARNINGS ESTIMATE LOW,EARNINGS ESTIMATE HIGH,EARNINGS ESTIMATE YEAR AGO EPS,EARNINGS ESTIMATE NUMBER OF ANALYSTS,EARNINGS ESTIMATE GROWTH,REVENUE ESTIMATE AVG,REVENUE ESTIMATE LOW,REVENUE ESTIMATE HIGH,REVENUE ESTIMATE YEAR AGO EPS,REVENUE ESTIMATE NUMBER OF ANALYSTS,REVENUE ESTIMATE GROWTH,EPS TREND CURRENT,EPS TREND7DAYS AGO,EPS TREND30DAYS AGO,EPS TREND60DAYS AGO,EPS TREND90DAYS AGO,EPS REVISIONS UP LAST7DAYS,EPS REVISIONS UP LAST30DAYS,EPS REVISIONS DOWN LAST7DAYS,EPS REVISIONS DOWN LAST30DAYS
20MICRONS,2020-03-31,+1y,,0.0000,0.0000,0.0000,,0.0000,,0.00,0.00,0.00,,0.00,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
20MICRONS,2018-03-31,0y,,0.0000,0.0000,0.0000,,0.0000,,0.00,3955010000.00,3955010000.00,,1.00,,0.0000,4.0900,4.0900,4.0900,4.0900,0.0000,0.0000,0.0000,0.0000
20MICRONS,2017-12-31,0q,,0.0000,0.0000,0.0000,,0.0000,,0.00,0.00,0.00,,0.00,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5PAISA,2024-03-31,+1y,0.4350,15.5000,15.5000,15.5000,10.8000,1.0000,0.4350,4571000000.00,4571000000.00,4571000000.00,,1.00,0.2270,15.5000,15.5000,15.5000,15.5000,15.5000,0.0000,0.0000,,0.0000
5PAISA,2023-03-31,0y,1.3080,10.8000,10.8000,10.8000,4.6800,1.0000,1.3080,3726000000.00,3726000000.00,3726000000.00,,1.00,0.2550,10.8000,10.8000,10.8000,10.8000,10.8000,0.0000,0.0000,,0.0000
5PAISA,2022-12-31,0q,,0.0000,0.0000,0.0000,,0.0000,,795478000.00,0.00,0.00,,0.00,-0.0060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000
AAVAS,2024-03-31,+1y,0.2300,65.6100,59.4000,71.5000,53.3400,8.0000,0.2300,12284600000.00,11729000000.00,13467700000.00,,9.00,0.2380,65.6100,65.6100,65.7300,65.4300,66.2300,0.0000,1.0000,,0.0000
AAVAS,2023-03-31,0y,0.1850,53.3400,51.3400,56.1000,45.0200,8.0000,0.1850,9926720000.00,9687000000.00,10125000000.00,,6.00,-0.2360,53.3400,53.3400,53.3900,53.6100,54.4000,0.0000,1.0000,,0.0000
AAVAS,2022-12-31,+1q,0.3110,14.6700,14.6700,14.6700,11.1900,1.0000,0.3110,2577500000.00,2438000000.00,2717000000.00,,2.00,-0.2440,14.6700,14.6700,14.6700,14.6800,14.8000,0.0000,0.0000,,0.0000
AAVAS,2022-09-30,0q,0.1570,0.0000,0.0000,0.0000,11.6000,0.0000,0.1570,2540660000.00,2328000000.00,2531000000.00,,2.00,-0.2140,0.0000,13.4200,13.4200,13.4200,13.9200,0.0000,0.0000,,0.0000
AAVAS,2022-06-30,0q,0.1010,8.2100,2.1000,14.3300,7.4600,2.0000,0.1010,3504710000.00,2432500000.00,2432500000.00,,1.00,0.2980,8.2100,8.2100,13.8900,13.8900,13.2100,0.0000,1.0000,,0.0000
AAVAS,2022-03-31,0y,0.1310,41.3200,40.1500,42.5000,36.5400,2.0000,0.1310,12986500000.00,7699430000.00,8000000000.00,,2.00,1.0130,41.3200,41.3200,42.1900,41.3200,42.7400,0.0000,0.0000,0.0000,0.0000
AAVAS,2021-12-31,+1q,,12.0000,12.0000,12.0000,,1.0000,,2234140000.00,2196280000.00,2272000000.00,,2.00,,12.0000,12.0000,12.0000,12.0000,12.0000,0.0000,0.0000,0.0000,0.0000
AAVAS,2021-09-30,0q,,0.0000,0.0000,0.0000,,0.0000,,1844890000.00,1721000000.00,1992000000.00,,3.00,,0.0000,9.0300,9.0300,9.0300,9.0300,0.0000,0.0000,0.0000,0.0000
ABB,2023-12-31,+1y,0.3000,40.9300,35.6000,47.3000,31.4800,22.0000,0.3000,106935000000.00,94827000000.00,136396000000.00,,23.00,0.2350,40.9300,41.8600,40.8900,40.2500,38.7800,0.0000,0.0000,,0.0000
ABB,2023-03-31,+1q,,0.0000,0.0000,0.0000,3.6000,0.0000,,0.00,0.00,0.00,,0.00,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000
ABB,2022-12-31,0y,,31.4800,27.3000,46.9000,,22.0000,,86571400000.00,83222000000.00,97213000000.00,,23.00,0.2490,31.4800,31.4100,31.2000,31.3200,30.2700,0.0000,0.0000,,0.0000
ABB,2022-09-30,0q,0.2370,7.0000,7.0000,7.0000,5.6600,1.0000,0.2370,21141600000.00,20215000000.00,22418000000.00,,5.00,0.1890,7.0000,7.0000,7.0000,7.0000,6.6000,0.0000,0.0000,,0.0000
ABB,2019-12-31,+1y,0.2460,35.3600,28.5600,45.6000,28.3900,22.0000,0.2460,124686000000.00,110928000000.00,147299000000.00,,22.00,0.1560,35.3600,35.3600,36.2200,36.4300,36.4300,0.0000,8.0000,1.0000,1.0000
ABB,2018-12-31,0y,0.4320,28.3900,24.5000,34.4000,19.8200,23.0000,0.4320,107847000000.00,95536000000.00,120716000000.00,,23.00,0.1500,28.3900,28.3900,29.5300,29.3500,29.3500,0.0000,6.0000,0.0000,0.0000
ABB,2018-06-30,+1q,0.3950,4.9400,4.9400,4.9400,3.5400,1.0000,0.3950,0.00,0.00,0.00,,0.00,,4.9400,4.9400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
ABB,2018-03-31,0q,0.4230,5.9200,5.9200,5.9200,4.1600,1.0000,0.4230,0.00,0.00,0.00,,0.00,,5.9200,5.9200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
ABB,2017-12-31,0y,0.2080,21.4500,18.0000,25.9000,17.7600,22.0000,0.2080,93141400000.00,88640000000.00,100039000000.00,,22.00,0.0940,21.4500,21.3500,21.4700,21.5400,23.1400,0.0000,0.0000,0.0000,
ABCAPITAL,2020-03-31,+1y,0.4810,7.0800,7.0800,7.0800,4.7800,1.0000,0.4810,160807000000.00,160807000000.00,160807000000.00,,1.00,0.2640,7.0800,7.0800,7.0800,6.7300,7.2100,0.0000,0.0000,0.0000,0.0000
ABCAPITAL,2019-03-31,0y,,4.7800,4.7800,4.7800,,1.0000,,127223000000.00,127223000000.00,127223000000.00,,1.00,,4.7800,4.7800,4.7800,4.9600,5.1700,0.0000,0.0000,0.0000,0.0000
ABCAPITAL,2018-09-30,+1q,,1.1000,1.1000,1.1000,,1.0000,,0.00,0.00,0.00,,0.00,,1.1000,1.1000,1.2600,1.2600,1.2600,0.0000,0.0000,0.0000,0.0000
ABCAPITAL,2018-06-30,0q,,1.4800,1.4800,1.4800,,1.0000,,0.00,0.00,0.00,,0.00,,1.4800,1.4800,1.2600,1.2600,1.2600,0.0000,1.0000,0.0000,0.0000
ABFRL,2024-03-31,+1y,0.5310,5.2200,2.6000,7.5000,3.4100,17.0000,0.5310,143496000000.00,128112000000.00,154382000000.00,,17.00,0.1740,5.2200,5.2200,5.4600,5.6600,5.7300,0.0000,0.0000,,0.0000
ABFRL,2023-03-31,0y,4.9200,3.4100,1.6000,5.6000,-0.8700,17.0000,4.9200,122276000000.00,114906000000.00,126915000000.00,,17.00,0.5630,3.4100,3.4100,3.6800,3.7000,3.8800,0.0000,0.0000,,0.0000
ABFRL,2022-09-30,+1q,,1.1000,0.9000,1.3000,,2.0000,,29527600000.00,30791000000.00,31582000000.00,,2.00,,1.1000,1.1000,1.1000,1.1000,0.9000,0.0000,0.0000,,0.0000
ABFRL,2022-06-30,0q,,0.0000,0.0000,0.0000,,0.0000,,27739500000.00,24191000000.00,27200000000.00,,2.00,2.5840,0.0000,0.4000,0.4000,0.4000,0.4000,0.0000,0.0000,,0.0000
ABFRL,2020-03-31,+1y,3.0320,2.5400,2.5400,2.5400,0.6300,1.0000,3.0320,109754000000.00,109754000000.00,109754000000.00,,1.00,0.2280,2.5400,2.5400,2.5400,2.5400,3.2100,0.0000,0.0000,0.0000,0.0000
ABFRL,2019-03-31,0y,0.0000,0.6300,0.6300,0.6300,0.6300,1.0000,0.0000,89384100000.00,89384100000.00,89384100000.00,,1.00,0.2460,0.6300,0.6300,0.6300,0.6300,0.9500,0.0000,0.0000,0.0000,0.0000
ABFRL,2018-09-30,+1q,,0.0000,0.0000,0.0000,-0.1300,0.0000,,18590000000.00,18590000000.00,18590000000.00,,1.00,0.0300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
ABFRL,2018-06-30,0q,,0.0000,0.0000,0.0000,-0.2600,0.0000,,18494000000.00,17422000000.00,19089000000.00,,4.00,0.0510,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
ABFRL,2018-03-31,0y,0.6230,1.1200,0.4000,2.9000,0.6900,10.0000,0.6230,74808200000.00,72017000000.00,82005100000.00,,11.00,0.1590,1.1200,1.1800,1.1900,1.1900,1.1900,1.0000,2.0000,3.0000,
ABFRL,2017-12-31,0q,4.1250,0.5000,0.5000,0.5000,-0.1600,1.0000,4.1250,19589000000.00,18875000000.00,19943000000.00,,5.00,0.1580,0.5000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
ABSLAMC,2024-03-31,+1y,0.1500,24.8900,21.6000,28.0000,21.6400,6.0000,0.1500,14263500000.00,13080000000.00,15187000000.00,,6.00,0.0860,24.8900,24.8900,25.4300,24.1500,25.0700,0.0000,0.0000,,0.0000
ABSLAMC,2023-03-31,0y,-0.1200,21.6400,20.7000,22.5000,23.2900,5.0000,-0.1200,13133600000.00,12891000000.00,13625000000.00,,5.00,0.0320,21.6400,21.1500,21.4100,21.4100,20.8400,0.0000,0.0000,,0.0000
ABSLAMC,2022-12-31,+1q,,0.0000,0.0000,0.0000,,0.0000,,3242000000.00,3242000000.00,3242000000.00,,1.00,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000
ABSLAMC,2022-09-30,0q,,0.0000,0.0000,0.0000,,0.0000,,3133000000.00,3000000000.00,3266000000.00,,2.00,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000
ABSLAMC,2022-06-30,+1q,,0.0000,0.0000,0.0000,,0.0000,,0.00,0.00,0.00,,0.00,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000
ABSLAMC,2022-03-31,0y,,22.1700,18.9000,23.3500,,6.0000,,12959000000.00,12810000000.00,13139000000.00,,5.00,,22.1700,22.1700,21.4900,21.4900,20.8700,0.0000,0.0000,,0.0000
ACC,2024-03-31,+1y,0.2300,111.8400,75.0000,142.0000,90.9000,5.0000,0.2300,203051000000.00,195416000000.00,215279000000.00,,6.00,-0.0390,111.8400,111.8400,117.4000,0.0000,0.0000,0.0000,0.0000,,0.0000
ACC,2023-12-31,+1y,0.6280,102.6600,60.0000,136.1000,63.0600,21.0000,0.6280,194842000000.00,176831000000.00,222942000000.00,,23.00,0.0000,102.6600,102.6600,103.2900,105.3000,105.4600,0.0000,5.0000,,0.0000
ACC,2023-03-31,0y,,90.9000,60.3000,123.0000,,6.0000,,211339000000.00,188218000000.00,229500000000.00,,7.00,,90.9000,90.9000,97.0200,0.0000,0.0000,0.0000,0.0000,,0.0000
ACC,2022-12-31,0y,-0.3790,63.0600,39.8000,100.1000,101.6000,23.0000,-0.3790,194777000000.00,168635000000.00,232691000000.00,,24.00,0.2060,63.0600,63.0600,63.4300,68.2200,68.2400,0.0000,4.0000,,0.0000
ACC,2022-09-30,0q,,8.6900,6.7800,12.5000,,3.0000,,40135400000.00,39065000000.00,41601000000.00,,6.00,,8.6900,9.6400,20.7800,10.7500,10.7500,0.0000,0.0000,,0.0000
ACC,2022-06-30,+1q,,18.2900,18.1000,18.4800,,2.0000,,43684700000.00,42584000000.00,44897900000.00,,4.00,,18.2900,30.2900,30.2900,19.1000,0.0000,0.0000,0.0000,,0.0000
ACC,2022-03-31,0q,,0.0000,0.0000,0.0000,,0.0000,,568230000.00,572380000.00,580550000.00,,3.00,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000
ACC,2021-12-31,0y,,109.1000,100.0000,117.0000,,20.0000,,163700000000.00,153947000000.00,169957000000.00,,20.00,,109.1000,109.8800,108.9700,109.5800,109.4100,0.0000,0.0000,0.0000,2.0000
ACC,2019-12-31,+1y,0.2250,0.0000,0.0000,0.0000,56.5900,0.0000,0.2250,159527000000.00,150331000000.00,166500000000.00,,24.00,0.0880,0.0000,69.3100,69.3100,69.3100,69.3100,0.0000,1.0000,0.0000,0.0000
ACC,2019-03-31,+1q,0.2680,0.0000,0.0000,0.0000,13.0200,0.0000,0.2680,0.00,0.00,0.00,,0.00,,0.0000,16.5100,16.5100,16.5100,16.5100,0.0000,0.0000,0.0000,0.0000
ACC,2018-12-31,0y,0.1640,0.0000,0.0000,0.0000,48.6300,0.0000,0.1640,146584000000.00,139180000000.00,149301000000.00,,24.00,0.1340,0.0000,56.5900,56.5900,56.5900,56.5900,1.0000,1.0000,0.0000,0.0000
ACC,2018-09-30,0q,0.3410,12.6600,9.6000,17.6000,9.4400,5.0000,0.3410,33939800000.00,32987000000.00,34553000000.00,,10.00,0.1110,12.6600,12.5100,12.3900,12.3900,8.9400,0.0000,0.0000,0.0000,
ACC,2018-06-30,0q,-0.2900,12.1400,11.0000,13.0000,17.0900,3.0000,-0.2900,35363000000.00,27291000000.00,37127000000.00,,12.00,0.0680,12.1400,14.3300,17.6500,17.6500,16.3100,0.0000,0.0000,1.0000,
ACC,2018-03-31,0q,-0.0610,10.5500,9.8000,10.9600,11.2400,3.0000,-0.0610,35160100000.00,34575000000.00,35585000000.00,,8.00,0.1340,10.5500,10.3800,15.5600,15.5600,16.5400,0.0000,0.0000,0.0000,
ACC,2017-12-31,0y,0.4090,48.2700,42.6200,60.3000,34.2700,17.0000,0.4090,128511000000.00,122164000000.00,136983000000.00,,15.00,0.1750,48.2700,51.2900,50.9800,51.1200,50.7000,0.0000,0.0000,0.0000,
ACCELYA,2024-06-30,+1y,,0.0000,0.0000,0.0000,,0.0000,,0.00,0.00,0.00,,0.00,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000
