 TICKER, CODE, EXCHANGE, NAME
ATUL,,,
CESC,CESC,BSE,CESC LTD.
DRREDDY,RDY,US,Dr. Reddy’s Laboratories Ltd ADR
DSSL,DSSL,BSE,DYNACONS SYSTEMS & SOLUTIONS LTD.
EROSMEDIA,EROS,BSE,Eros International PLC
GAIL,GAIL,BSE,GAIL (INDIA) LTD.
GPPL,GPPL,BSE,GUJARAT PIPAVAV PORT LTD.
HDFC,HDFC,BSE,HOUSING DEVELOPMENT FINANCE CORP.LTD.
HDFCBANK,HDB,US,HDFC Bank Limited ADR
HDIL,HDIL,BSE,HOUSING DEVELOPMENT & INFRASTRUCTURE LTD.
ICICIBANK,IBN,US,Icici Bank Limited ADR
IIFL,IIFL,BSE,IIFL Finance Ltd
INFY,INFY,US,Infosys Ltd ADR
INFY,INFY,BSE,INFOSYS LTD.
IOC,IOC,BSE,INDIAN OIL CORPORATION LTD.
IZMO,IZMO,BSE,IZMO Limited-$
KCP,KCP,BSE,K.C.P.LTD.
KDDL,KDDL,BSE,KDDL LTD.-$
KOKUYOCMLN,KOCL,BSE,Kome-On Communication Ltd
KRBL,KRBL,BSE,KRBL LTD.
NTPC,NTPC,BSE,NTPC LTD.
OMAXE,,,
ONGC,ONGC,BSE,Oil and Natural Gas Corporation Ltd
SCI,SCI,BSE,SHIPPING CORPORATION OF INDIA LTD.
TATAMOTORS,TTM,US,Tata Motors Limited ADR
TATAMTRDVR,TTM,US,Tata Motors Limited ADR
TATASTLLP,TTST,BSE,Tata Steel Ltd GDR
VEDL,VEDL,US,Vedanta Limited
VSTTILLERS,VST,BSE,VST Industries Limited
WIPRO,WIT,US,Wipro Limited ADR
