 TICKER, NAME, TITLE, YEAR BORN
20MICRONS,Mr. Rajesh Chandresh Parikh,Chairman & MD,1971
20MICRONS,Mr. Atil Chandresh Parikh,"CEO, MD & Director",1977
20MICRONS,Mr. Narendrakumar R. Patel,Chief Financial Officer,1959
20MICRONS,Ms. Komal  Pandey,Company Sec. & Compliance Officer,NA
20MICRONS,Mr. Vipul M. Chawda,Assistant Gen. Mang. of HR & Admin.,1970
20MICRONS,Mr. Nirakar H. Desai,Pres of Marketing International Bus.,1964
20MICRONS,Mr. Ajay P. Joshi,Sr. VP of Operations,1968
20MICRONS,Mr. Rakesh Subhashchandra Parikh,Sr. VP of Operations,1976
20MICRONS,Mr. Prashant C. Bhavsar,Sr. VP of Marketing,NA
20MICRONS,Mr. Krishna Kumar Mishra,Sr. VP of Marketing,NA
21STCENMGM,Mr. Sundar  Iyer B.Sc.,Chairman & CEO,1950
21STCENMGM,Mr. Bhaskar  Shetty F.C.A.,Chief Financial Officer,1964
21STCENMGM,"Mr. A. V. M. Sundaram AICWA, C.S., CAIIB",Compliance Officer & Company Sec.,1953
21STCENMGM,"Mr. Karthik Sundar Iyer B.Com., M.B.A.",MD & Director,1989
21STCENMGM,Ms. Jaylaxmi  Mukta M.B.A.,Accounts Mang.,1982
21STCENMGM,Mr. K. S. Vasulu,Investor Relations Mang.,NA
3IINFOLTD,Mr. Thompson Prashanth Gnanam,"MD, Global CEO & Whole-Time Director",NA
3IINFOLTD,Mr. Sanjay  Rawa,Chief Financial Officer,NA
3IINFOLTD,Ms. Varika  Rastogi,"Company Sec., Legal Head & Compliance Officer",NA
3IINFOLTD,Ms. Rangapriya  Goutham,Chief Marketing Officer,NA
3IINFOLTD,Mr. Mohan  TS,Chief Human Resource Officer,NA
3IINFOLTD,Mr. Rakesh  Doshi,Pres & Global Head of Financial Services and Insurance Verticals,NA
3IINFOLTD,Mr. Krish  Narayanaswami,Pres & Global Head of Banking Vertical,NA
3IINFOLTD,Mr. Ram  Sankar,Chief Financial Controller of North America,NA
3IINFOLTD,Mr. Prasad  Bendre,Sr. VP of IT Consulting Services for North America,NA
3IINFOLTD,Ramasubramanian  Sankaranarayanan,"Chief Financial Controller, NA",NA
3MINDIA,Mr. Ramesh  Ramadurai,MD & Director,1962
3MINDIA,Ms. Vidya  Sarathy,CFO & Whole time Director,1966
3MINDIA,Ms. Priya  Menon,Gen. Counsel,1973
3MINDIA,Dr. Kris  Sridhar,Head of Technical,1958
3MINDIA,Mr. Pratap Rudra Bhuvanagiri,Company Sec. & Compliance Officer,NA
3MINDIA,Ms. Shreya  Bhagwanth,Head of HR & Asia Total Rewards and Services,1976
3MINDIA,Mr. Rajiv  Gupta,Head of Heath Care Bus.,1971
3MINDIA,Mr. Ashutosh  Shirodkar,Head of Safety & Industrial Bus.,1971
3MINDIA,Mr. Milind  Joglekar,Head of Taxation,1970
3MINDIA,Mr. Girish  Appu,Head of Manufacturing Operation,1972
4THDIM,Mr. Rajesh  Thakur,MD & Director,NA
4THDIM,Ms. Veena Pani Chaudhary,CFO & Exec. Director,NA
4THDIM,Mr. Ashish  Thakur,Company Sec. & Compliance Officer,NA
4THDIM,Mr. Pankaj  Mittal,VP & COO,NA
4THDIM,G.V.V  Satyanarayana,Chief Technical Officer,NA
4THDIM,Rajender  Kumar,Chief Admin. Officer,NA
4THDIM,Colonel Ajay  Purohit,Sr. VP of Operations,NA
4THDIM,Rajendra  Pandey,Sr. VP,NA
4THDIM,Venkat  Patnaik,Exec. VP,NA
4THDIM,MP  Singh,Vice-Pres,NA
5PAISA,Mr. Prakarsh Sharad Gagdani,CEO & Whole-Time Director,1981
5PAISA,Mr. Gourav  Munjal,CFO & Whole-Time Director,1988
5PAISA,Ms. Namita Amod Godbole,Company Sec. & Compliance Officer,NA
5PAISA,Mr. Rajesh  Jain,Head of Operations,NA
5PAISA,Ragunathan  Balaji,Chief Technology Officer,NA
5PAISA,Mr. Vikram  Sahni,Head of Sales,NA
5PAISA,Ms. Raisa  Kazi,Chief Marketing Officer,NA
5PAISA,Mr. Sunder  Ram,Head of Product,1983
5PAISA,Mr. Shoaib  Qureshi,Head of Customer Services,NA
5PAISA,Mr. Mayur  Dedhia,Bus. Head of Broking,NA
A2ZINFRA,Colonel Guljeet Singh Saroya,Pres,NA
A2ZINFRA,Mr. Atul Kumar Agarwal,"Company Sec., Compliance Officer & Pres of Corp. Affairs",1976
A2ZINFRA,Mr. Amit  Mittal,"Founder, MD, CEO & Exec. Director",1968
A2ZINFRA,Mr. Lalit  Kumar,Chief Financial Officer,NA
A2ZINFRA,Mr. Rajiv  Singh,Group Director of Corp. Fin. & Strategy,NA
A2ZINFRA,Mr. V. K. Ramesh,Sr. VP of Bus. Devel.,1963
A2ZINFRA,Mr. Chander Parkash Khurana,Sr. VP of Design & Engineering,1943
A2ZINFRA,Mr. Swapan Kumar Das Gupta,Sr. VP of Transmission Lines Bus.,1947
A2ZINFRA,Mr. Rashmi  Ranjan,Sr. VP of Project Management,1961
A2ZINFRA,Mr. Manoj  Gupta,Pres of Projects,1974
AAATECH,Mr. Anjay Ratanlal Agarwal,Chairman & MD,1969
AAATECH,Mr. Venugopal Madanlal Dhoot,"Director of Fin., CFO & Whole Time Director",1955
AAATECH,Ms. Ruchi Anjay Agarwal,Exec. Director of Human Resource & Admin. and Director,1971
AAATECH,Mr. Sagar Manoj Shah,Company Sec. & Compliance Officer,NA
AAKASH,Mr. Vipul Navin Haria,MD & Chairman,1970
AAKASH,Mr. Hemang Navin Haria,CFO & Whole Time Director,1972
AAKASH,Ms. Nisha  Agarwal,Company Sec. & Compliance officer,NA
AAKASH,Mr. Krunal Pravinbhai Haria,Whole Time Director,1982
AAKASH,MD.  Inam,Head of HSE,NA
AAREYDRUGS,Mr. Mihir Rajesh Ghatalia B.E,Chairman & MD,1983
AAREYDRUGS,Mr. Nimit Rajesh Ghatalia,Exec. Director,1996
AAREYDRUGS,Ms. Mira Mihir Ghatalia,Chief Financial Officer,NA
AAREYDRUGS,Mr. A. S. Kathawala,Chief Accountant,1976
AAREYDRUGS,Ms. Preeti Paresh Rathi,Company Sec. & Compliance Officer,NA
AAREYDRUGS,Mr. J. C. Gohil,Head of Plant,1945
AAREYDRUGS,Mr. Milind  Churi,Head of Production,1960
AAREYDRUGS,Mr. Maruti  Ugade,Head of Logistic,1974
AARON,Mr. Amar Chinubhai Doshi,Exec. Chairman & MD,1962
AARON,Mr. Monish Amarbhai Doshi,CFO & Exec. Director,1989
AARON,Mr. Nitinkumar  Maniya,Company Sec. & Compliance Officer,NA
AARON,Mr. Karan Amar Doshi,Exec. Whole Time Director,1986
AARTIDRUGS,Mr. Prakash Moreshwar Patil,"Chairman, MD, CEO & Head of BR",1947
AARTIDRUGS,Mr. Harshit Manila Savla,Joint MD & Exec. Director,1962
AARTIDRUGS,Mr. Harit Pragji Shah,Whole-Time Director,1963
AARTIDRUGS,Mr. Uday Moreshwar Patil,Whole-Time Director,1963
AARTIDRUGS,Mr. Rashesh Chandrakant Gogri,MD & Exec. Director,1974
AARTIDRUGS,Mr. Adhish Prakash Patil,CFO & Director,1983
AARTIDRUGS,Mr. Dhanaji L. Kakade,VP of Technical,NA
AARTIDRUGS,Mr. Rushikesh  Deole,Company Sec. & Compliance Officer,NA
AARTIDRUGS,Mr. Vishwa Harshit Savla,Director of Pinnacle of Life Sciences,NA
AARTIIND,Mr. Rajendra Vallabhaji Gogri,Chairman & MD,1959
AARTIIND,Mr. Rashesh Chandrakant Gogri,Vice Chairman & MD,1974
AARTIIND,Mr. Kirit Ratilal Mehta B.Com,Exec. Director,1948
AARTIIND,Mr. Parimal Hasmukhlal Desai,Exec. Director,1949
AARTIIND,Mr. Manoj Murjibhai Chheda B.Com,Exec. Director,1962
AARTIIND,Mr. Renil Rajendra Gogri,Exec. Director,1987
AARTIIND,"Mr. Jaya Chandrakant Vallabhaji Gogri (UDCT, B.E. (Chem), DBM, Mumbai)",Founder & Chairman Emeritus,1946
AARTIIND,Mr. Chetan Bipin Gandhi CA,Chief Financial Officer,NA
AARTIIND,Mr. Shyam  Dhekekar,Sr. VP of Process & Technology,1976
AARTIIND,Mr. Raj Kumar Sarraf,Compliance Officer & Company Sec.,NA
AARTISURF,Mr. Nikhil Parimal Desai,MD & Exec. Director,1978
AARTISURF,Mr. Santosh Madhaorao Kakade,Whole-Time Director,1971
AARTISURF,Mr. Nitesh Harakchand Medh,Chief Financial Officer,NA
AARTISURF,Ms. Priyanka  Chaurasia,Company Sec. & Compliance Officer,NA
AARVEEDEN,Mr. Vinodkumar Parmanand Arora,Chairman & MD,1951
AARVEEDEN,Mr. Ashish Virendrabhai Shah,MD & Exec. Director,1958
AARVEEDEN,Mr. Ketan U. Desai,Chief Financial Officer,NA
AARVEEDEN,Mr. Rahul  Makwana,Company Sec. & Compliance Officer,NA
AARVEEDEN,Mr. Kalpesh Virendrabhai Shah,Whole Time Director,1951
AARVEEDEN,Mr. Nipunbhai Vinodkumar Arora,Whole Time Director,1974
AARVEEDEN,Mr. Pankajbhai V. Arora,VP of Marketing,1979
AARVEEDEN,Anuj V. Shah,Exec.,NA
AARVI,Mr. Virendra Dalpatram Sanghavi,MD & Founding Director,1942
AARVI,Mr. Jaydev Virendra Sanghavi,CFO & Exec. Director,1971
AARVI,Ms. Leela Soban Singh Bisht,Company Sec. & Compliance Officer,NA
AAVAS,Mr. Sushil Kumar Agarwal,"MD, CEO & Director",1976
AAVAS,Mr. Ghanshyam  Rawat,Co-Founder & CFO,1968
AAVAS,Mr. Rajeev  Sinha,Exec. VP of Operations,1975
AAVAS,Mr. Mukesh  Agarwal,Sr. VP of Accounts,1976
AAVAS,Ms. Jijy  Oommen,Chief Technology Officer,NA
AAVAS,Mr. Sharad  Pathak,Company Sec. & Compliance Officer,NA
AAVAS,Mr. Ashutosh  Atre,Chief Risk Officer,1970
AAVAS,Mr. Surendra Kumar Sihag,Exec. VP of Collections,1973
AAVAS,Mr. Ripudaman  Bandral,Chief Credit Officer,1975
AAVAS,Mr. Himanshu  Agrawal,Investor Relations Exec.,NA
ABAN,"Mr. Reji  Abraham BE, PGDM",MD & Exec. Director,1966
ABAN,"Mr. Chakkungal Pathayapura Gopalkrishnan A.C.A., A.C.S., B.Com., L.L.B., B.Com (Hons), ACA","Deputy MD, CFO & Exec. Non Promoter Director",1956
ABAN,Mr. Steve  Ogston,Gen. Mang. of Operations,NA
