 TICKER, CODE, EXCHANGE, NAME
AAPL,0R2V,LSE,Apple Inc.
AAPL,0R2V,IL,Apple Inc.
AAPL,6689,TSE,Apple Inc
AAPL,AAPL,SN,Apple Inc
AAPL,AAPL,MX,Apple Inc
AAPL,AAPL,NEO,Apple Inc CDR
AAPL,AAPL,LIM,Apple Inc
AAPL,AAPL,BA,Apple Inc DRC
AAPL,AAPL,MI,Apple Inc.
AAPL,AAPL34,SA,Apple Inc
AAPL,APC,DU,Apple Inc
AAPL,APC,HM,Apple Inc
AAPL,APC,F,Apple Inc
AAPL,APC,STU,Apple Inc
AAPL,APC,HA,Apple Inc
AAPL,APC,XETRA,Apple Inc
AAPL,APC,BE,Apple Inc
AAPL,APC,MU,Apple Inc
MSFT,MSFT34,SA,Microsoft Corporation
GOOGL,GOGL34,SA,Alphabet Inc
GOOGL,GOGL35,SA,Alphabet Inc
GOOGL,GOOG,US,Alphabet Inc Class C
GOOGL,GOOGL,BA,Alphabet Inc Class A CEDEAR
AMZN,AMZO34,SA,Amazon.com Inc
UNH,UNHH34,SA,UnitedHealth Group Incorporated
JNJ,JNJ,BA,Johnson & Johnson Co DRC
JNJ,JNJB34,SA,Johnson & Johnson
XOM,EXXO34,SA,Exxon Mobil Corporation
V,VISA34,SA,Visa Inc
JPM,JPM,BA,JPMorgan Chase & Co. CEDEAR
JPM,JPMC34,SA,JPMorgan Chase & Co
TSLA,TSLA34,SA,Tesla Inc
WMT,WALM34,SA,Walmart Inc
WMT,WMT,BA,Walmart Inc
TSM,2330,TW,Taiwan Semicon
TSM,TSMC34,SA,Taiwan Semiconductor Manufacturing Company Limited
LLY,LILY34,SA,Eli Lilly and Company
PG,PG,BA,Procter & Gamble DRC
PG,PGCO34,SA,The Procter & Gamble Company
NVDA,NVDC34,SA,NVIDIA Corporation
CVX,CHVX34,SA,Chevron Corporation
CVX,CVX,BA,Chevron Corp. CEDEAR
MA,MSCD34,SA,Mastercard Incorporated
HD,HD,BA,The Home Depot Inc.
HD,HOME34,SA,The Home Depot Inc
META,FB2A,XETRA,Meta Platforms Inc
META,FB2A,F,Meta Platforms Inc
META,FBOK34,SA,Facebook Inc
NVO,NOVOB,CO,Novo Nordisk A/S
MRK,MRCK34,SA,Merck & Co. Inc
KO,COCA34,SA,The Coca-Cola Company
KO,KO,BA,The Coca-Cola Company
PEP,PEP,F,PepsiCo Inc
PEP,PEP,XETRA,PepsiCo Inc
PEP,PEPB34,SA,PepsiCo Inc
BABA,9988,HK,Alibaba Group Holding Ltd
BABA,BABA34,SA,Alibaba Group Holding Limited
AVGO,1YD,F,Broadcom Inc
AVGO,1YD,XETRA,Broadcom Inc.
AVGO,AVGO34,SA,Broadcom Inc
AVGO,AVGOP,US,Broadcom Mandatory Conv Pref
ASML,0QB8,LSE,ASML Holding NV
ASML,ASME,F,ASML Holding NV
ASML,ASML,AS,ASML Holding NV
ORCL,ORCL34,SA,Oracle Corporation
TMO,TMOS34,SA,Thermo Fisher Scientific Inc
AZN,AZN,LSE,AstraZeneca PLC
COST,COWC34,SA,Costco Wholesale Corporation
CSCO,CSCO,BA,Cisco Systems Inc. CEDEAR
CSCO,CSCO34,SA,Cisco Systems Inc
MCD,MCDC34,SA,McDonald's Corporation
DHR,DHER34,SA,Danaher Corporation
ABT,ABTT34,SA,Abbott Laboratories
TM,7203,TSE,Toyota Motor Corp
TM,TM,BA,Toyota Motor Corp. CEDEAR
TM,TMCO34,SA,Toyota Motor Corporation
NKE,NIKE34,SA,NIKE Inc
NKE,NKE,BA,NIKE Inc.
TMUS,TM5,XETRA,T-MOBILE US INC.DL-00001
VZ,VERZ34,SA,Verizon Communications Inc
VZ,VZ,BA,Verizon Communications Inc.
BHP,BHP,AU,BHP Group Limited
BHP,BHP1,F,BHP Group Limited
BHP,BHPG34,SA,BHPG34
WFC,0R2F,LSE,Wells Fargo & Company
WFC,0R2F,IL,Wells Fargo & Company
WFC,NWT,DU,Wells Fargo & Company
WFC,NWT,HM,Wells Fargo & Company
WFC,NWT,MU,Wells Fargo & Company
WFC,NWT,BE,Wells Fargo & Company
WFC,NWT,HA,Wells Fargo & Company
WFC,NWT,XETRA,Wells Fargo & Company
WFC,NWT,F,Wells Fargo & Company
WFC,NWT,STU,Wells Fargo & Company
WFC,WFC,MX,Wells Fargo & Company
WFC,WFC,LIM,Wells Fargo & Company
WFC,WFC,BA,Wells Fargo & Company
WFC,WFC,SN,Wells Fargo & Company
WFC,WFCO34,SA,Wells Fargo & Company
PM,PHMO34,SA,Philip Morris International Inc
SCHW,SCHW34,SA,The Charles Schwab Corporation
ADBE,ADBE34,SA,Adobe Inc
BMY,BMYB34,SA,Bristol-Myers Squibb Company
CMCSA,CMCS34,SA,Comcast Corporation
UPS,UPSS34,SA,United Parcel Service Inc
TXN,TEXA34,SA,Texas Instruments Incorporated
COP,COP,F,ConocoPhillips
COP,COPH34,SA,ConocoPhillips
HON,HONB34,SA,Honeywell International Inc
MS,MSBR34,SA,Morgan Stanley
AMGN,AMGN34,SA,Amgen Inc
CRM,SSFO34,SA,salesforce.com inc
T,ATTB34,SA,AT&T Inc.
T,TBB,US,AT&T Inc
T,TBC,US,AT&T Inc ELKS
RY,RY,TO,Royal Bank of Canada
NFLX,NFLX34,SA,Netflix Inc
UL,ULVR,LSE,Unilever PLC
IBM,IBM,BA,International Business Machines Corporation
IBM,IBMB34,SA,International Business Machines Corp
LMT,LMT,BA,Lockheed Martin Corp. CEDEAR
LMT,LMTB34,SA,Lockheed Martin Corporation
UNP,UPAC34,SA,Union Pacific Corporation
HSBC,0005,HK,HSBC Holdings PLC
HSBC,HSBA,LSE,HSBC Holdings PLC
CAT,CAT,BA,Caterpillar Inc. CEDEAR
CAT,CATP34,SA,Caterpillar Inc
SAP,SAPP34,SA,SAP SE
CVS,CVSH34,SA,CVS Health Corporation
ELV,A58,F,Anthem Inc
QCOM,QCOM,BA,QUALCOMM Incorporated
QCOM,QCOM34,SA,Qualcomm Inc
BUD,ABI,BR,Anheuser Busch Inbev SA NV
BUD,ABI,XETRA,Anheuser-Busch InBev SA/NV
LOW,LOWC34,SA,Lowe's Companies Inc
TD,TD,TO,Toronto Dominion Bank
GS,GSGI34,SA,The Goldman Sachs Group Inc
EQNR,DNQ,F,Equinor ASA
EQNR,EQNR,OL,Equinor ASA
SBUX,SBUB34,SA,Starbucks Corporation
BA,BA,BA,Boeing Co. CEDEAR
BA,BOEI34,SA,The Boeing Company
AXP,AXP,BA,American Express Co DRC
AXP,AXPB34,SA,American Express Company
INTC,INTC,BA,Intel Corp. CEDEAR
INTC,ITLC34,SA,Intel Corporation
BLK,BLAK34,SA,BlackRock Inc
BP,BP,LSE,BP PLC
AMD,A1MD34,SA,Advanced Micro Devices Inc
AMD,AMD,F,Advanced Micro Devices Inc
AMD,AMD,XETRA,Advanced Micro Devices Inc
AMT,A0T,F,American Tower Corp
DEO,DEO,BA,Diageo PLC CEDEAR
DEO,DGE,LSE,Diageo PLC
ADP,AUD,F,Autodesk Inc
GE,GE,BA,General Electric Co. CEDEAR
GE,GEOO34,SA,General Electric Company
MDLZ,MDLZ34,SA,Mondelez International Inc
BTI,BATS,LSE,British American Tobacco PLC
EL,0JTM,LSE,The Estée Lauder Companies Inc
C,,,
C,CTGP34,SA,Citigroup Inc
MO,MOOO34,SA,Altria Group Inc
MUFG,8306,TSE,Mitsubishi UFJ Financial Group Inc
CNI,CNIC34,SA,Canadian National Railway Company
CNI,CNR,TO,Canadian National Railway Co
PYPL,2PP,XETRA,PayPal Holdings Inc
PYPL,PYPL34,SA,PayPal Holdings Inc
ENB,ENB,TO,Enbridge Inc
ENB,ENBA,US,Enbridge 6.375 Fixed to Floating Rate Subordinated Notes Series 2018 B Exp 2078
DUK,DUKB,US,Duke Energy Corp
DUK,DUKB34,SA,Duke Energy Corporation
DUK,DUKH,US,Duke Energy Corporation JR SUB DEB 73
BKNG,BKNG34,SA,Booking Holdings Inc
BKNG,PCE1,XETRA,Booking Holdings Inc
BKNG,PCE1,F,Booking Holdings Inc
NOW,4S0,F,ServiceNow Inc
SO,SOJA,US,The Southern Company JR SUB NT 2015A
SO,SOJB,US,The Southern Company JR SUB NT 76
SO,SOJC,US,Southern Co
SO,SOJD,US,Southern Co
SO,SOLN,US,Southern Co
JD,9618,HK,Jd Com Inc
JD,JDCO34,SA,JD.com Inc
SLB,SLBG34,SA,Schlumberger Limited
PGR,PGR,F,Progressive Corp
BDX,BDXB,US,Becton Dickinson and Company
GSK,,,
GSK,GSK,LSE,GSK plc
CP,CP,TO,Canadian Pacific Railway Ltd
TGT,TGTB34,SA,Target Corporation
MRNA,0QF,STU,MODERNA
GD,GDBR34,SA,General Dynamics Corporation
MMM,MMM,F,3M Company
MMM,MMMC34,SA,3M Company
CL,COLG34,SA,Colgate-Palmolive Company
CSX,CSX,MU,CS GROUP N
CSX,CSX,F,Credit Suisse Group AG
CSX,CSXC34,SA,CSX Corporation
HUM,HUM,F,Humana Inc
CNQ,CNQ,TO,Canadian Natural Resources Ltd
BMO,BMO,TO,Bank of Montreal
CME,CHME34,SA,CME Group Inc
CME,MX4A,F,CME Group Inc
CME,MX4A,STU,CME GROUP-A (MX4A.SG)
CCI,8CW,F,Crown Castle International Corp
EMR,EMR,F,Emerson Electric Co
DG,DGCO34,SA,Dollar General Corporation
TRI,TRI,TO,Thomson Reuters Corp
SMFG,8316,TSE,Sumitomo Mitsui Financial
MU,,,
MU,,,
MU,0R2T,LSE,Micron Technology Inc
MU,MUTC34,SA,Micron Technology Inc
RELX,REL,LSE,Relx PLC
ADM,ADM,F,Archer-Daniels-Midland Company
D,DCUE,US,Dominion Energy Inc
D,DRUA,US,Dominion Energy Inc. ENHCD SUB NT16 A
KDP,DP5,F,Keurig Dr Pepper Inc
KHC,KHCB34,SA,The Kraft Heinz Company
KHC,KHNZ,XETRA,Kraft Heinz Co
GIS,GIS,F,General Mills Inc
PSX,PSX,F,Phillips 66
SRE,SREA,US,DBA Sempra 5.750% Junior Subordinated Notes due 2079
F,FDMO34,SA,Ford Motor Company
CNC,QEN,F,Centene Corp
ING,INGA,AS,ING Groep NV
ING,INN1,XETRA,ING Groep NV
AFL,AFL,F,Aflac Incorporated
NTES,9999,HK,NetEase Inc
NGG,NG,LSE,National Grid PLC
NGG,NGG,BA,NATIONAL GRID CEDEAR EACH REP 1
NGG,NNGF,XETRA,National Grid plc
ITUB,ITUB3,SA,Itaú Unibanco Holding S.A
ITUB,ITUB4,SA,Itaú Unibanco Holding S.A
SU,SU,TO,Suncor Energy Inc
WDAY,W7D,STU,WORKDAY-A (W7D.SG)
WDAY,W7D,MU,WORKDAY-A
WDAY,W7D,F,Workday Inc
LULU,33L,BE,LULULEMON ATHL
LULU,33L,F,Lululemon Athletica Inc
CTVA,2X0,XETRA,CORTEVA INC.      DL -01
PANW,5AP,F,Palo Alto Networks Inc
NXPI,NXPI,XETRA,NXP Semiconductors NV
FIS,F1NI34,SA,Fidelity National Information Services Inc
TRP,TRP,TO,TC Energy Corp
BIIB,BIIB34,SA,Biogen Inc
NTR,NTR,TO,Nutrien Ltd
LYG,LLOY,LSE,Lloyds Banking Group PLC
