 TICKER, NAME, TITLE, YEAR BORN
AAPL,Mr. Timothy D. Cook,CEO & Director,1961
AAPL,Mr. Luca  Maestri,CFO & Sr. VP,1964
AAPL,Mr. Jeffrey E. Williams,Chief Operating Officer,1964
AAPL,Ms. Katherine L. Adams,"Sr. VP, Gen. Counsel & Sec.",1964
AAPL,Ms. Deirdre  O'Brien,Sr. VP of People & Retail,1967
AAPL,Mr. Chris  Kondo,Sr. Director of Corp. Accounting,NA
AAPL,Mr. James  Wilson,Chief Technology Officer,NA
AAPL,Ms. Mary  Demby,Chief Information Officer,NA
AAPL,Ms. Nancy  Paxton,Sr. Director of Investor Relations & Treasury,NA
AAPL,Mr. Greg  Joswiak,Sr. VP of Worldwide Marketing,NA
MSFT,Mr. Satya  Nadella,Chairman & CEO,1967
MSFT,Mr. Bradford L. Smith LCA,Pres & Vice Chairman,1959
MSFT,Ms. Amy E. Hood,Exec. VP & CFO,1972
MSFT,Mr. Judson  Althoff,Exec. VP & Chief Commercial Officer,1973
MSFT,Mr. Christopher David Young,"Exec. VP of Bus. Devel., Strategy & Ventures",1972
MSFT,Ms. Alice L. Jolla,Corp. VP & Chief Accounting Officer,1967
MSFT,Brett  Iversen,Gen. Mang. of Investor Relations,NA
MSFT,Mr. Frank X. Shaw,Corp. VP for Corp. Communications,NA
MSFT,Mr. Christopher C. Capossela,Exec. VP & Chief Marketing Officer,1970
MSFT,Mr. Keith Ranger Dolliver Esq.,"VP, Deputy Gen. Counsel of Corp., External & Legal Affairs and Assistant Sec.",NA
GOOGL,Mr. Sundar  Pichai,CEO & Director,1973
GOOGL,Mr. Lawrence Edward Page,Co-Founder & Director,1973
GOOGL,Mr. Sergey  Brin,Co-Founder & Director,1974
GOOGL,Ms. Ruth M. Porat,Sr. VP & CFO,1958
GOOGL,Mr. J. Kent Walker,"Pres of Global Affairs, Chief Legal Officer & Company Sec.",1961
GOOGL,Dr. Prabhakar  Raghavan,Sr. VP of Knowledge and Information - Google,1961
GOOGL,Mr. Philipp  Schindler,Sr. VP & Chief Bus. Officer of Google,1971
GOOGL,Ms. Amie Thuener O'Toole,Chief Accounting Officer & VP,1975
GOOGL,Ms. Ellen  West,VP of Investor Relations,NA
GOOGL,Ms. Fiona Clare Cicconi,Chief People Officer,1966
AMZN,Mr. Andrew R. Jassy,"Pres, CEO & Director",1968
AMZN,Mr. Brian T. Olsavsky,Sr. VP & CFO,1964
AMZN,Mr. David A. Zapolsky,"Sr. VP, Gen. Counsel & Sec.",1964
AMZN,Mr. Adam N. Selipsky,"Chief Exec. Officer of Amazon Web Services, Inc.",1967
AMZN,Ms. Shelley L. Reynolds,"VP, Worldwide Controller & Principal Accounting Officer",1965
AMZN,Dr. Werner  Vogels,Chief Technology Officer,NA
AMZN,Mr. Dave  Fildes,Director of Investor Relations,NA
AMZN,Ms. Anuradha  Aggarwal,CMO & Director of User Growth,NA
AMZN,Ms. Beth  Galetti M.B.A.,Sr. VP of Worldwide HR,NA
AMZN,Mr. Steven  Kessel,Sr. VP,1966
UNH,Sir Andrew Philip Witty,CEO & Director,1965
UNH,Mr. Dirk C. McMahon,Pres & COO,1960
UNH,Mr. John F. Rex,Exec. VP & CFO,1962
UNH,Mr. Brian Robert Thompson,Exec. VP & CEO of UnitedHealthcare,NA
UNH,Mr. Thomas Edward Roos,Sr. VP & Chief Accounting Officer,1973
UNH,Mr. Sandeep  Dadlani,Exec. VP and Chief Digital & Technology Officer,1975
UNH,Mr. Zachary William Sopcak,Sr. VP of Capital Markets Communications & Investor Relations,NA
UNH,Mr. Rupert  Bondy,Exec. VP & Chief Legal Officer,1962
UNH,Ms. Jennifer Mound Smoter,Sr. VP & Chief Communications Officer,NA
UNH,Mr. James T. Barry Jr.,Director of Sales for Western Pennsylvania,1946
JNJ,Mr. Alex  Gorsky,Exec. Chairman,1960
JNJ,Mr. Joaquin  Duato,CEO & Director,1963
JNJ,Mr. Joseph J. Wolk CPA,Exec. VP & CFO,1967
JNJ,Ms. Jennifer L. Taubert,Exec. VP & Worldwide Chairman of Pharmaceuticals,1964
JNJ,Mr. Robert J. Decker Jr.,Controller & Chief Accounting Officer,1972
JNJ,Mr. James  Swanson,Exec. VP & Chief Information Officer,NA
JNJ,Ms. Jessica  Moore,VP of Investor Relations,NA
JNJ,Mr. Dirk  Brinckman,Chief Compliance Officer,NA
JNJ,Ms. Elizabeth  Forminard,Exec. VP & Gen. Counsel,NA
JNJ,Dr. Peter M. Fasolo Ph.D.,Exec. VP & Chief HR Officer,1963
XOM,Mr. Darren W. Woods,"Chairman, Pres & CEO",1965
XOM,Ms. Kathryn A. Mikells,Sr. VP & CFO,1966
XOM,Mr. Neil A. Chapman,Sr. VP,1962
XOM,Mr. Jack P. Williams Jr.,Sr. VP,1964
XOM,Mr. Liam M. Mallon,VP & Pres of ExxonMobil Upstream Company,1963
