 TICKER,DATE,DATE FORMATTED,SHARES MLN,SHARES
AAPL,2022,2022-12-31,16118.4650,16118465000
AAPL,2021,2021-12-31,16519.2910,16519291000.000002
AAPL,2020,2020-12-31,17113.6880,17113687999.999998
AAPL,2019,2019-12-31,17818.4160,17818416000
AAPL,2018,2018-12-31,19093.0080,19093008000
AAPL,2017,2017-12-31,20631.1480,20631148000
AAPL,2016,2016-12-31,21311.9800,21311980000
AAPL,2015,2015-12-31,22376.5080,22376508000
AAPL,2014,2014-12-31,23527.2120,23527212000
AAPL,2013,2013-12-31,25240.6560,25240656000
AAPL,2012,2012-12-31,26522.0760,26522076000
AAPL,2011,2011-12-31,26364.0160,26364016000
AAPL,2010,2010-12-31,26128.3120,26128312000
AAPL,2009,2009-12-31,25753.9240,25753924000
AAPL,2008,2008-12-31,25241.8320,25241832000
AAPL,2007,2007-12-31,25201.5120,25201512000
AAPL,2006,2006-12-31,24732.3160,24732316000
AAPL,2005,2005-12-31,24477.7960,24477796000
AAPL,2004,2004-12-31,23468.8720,23468872000
AAPL,2003,2003-12-31,20849.2480,20849248000
AAPL,2002,2002-12-31,20107.1920,20107192000
AAPL,2001,2001-12-31,20020.5040,20020504000
AAPL,2000,2000-12-31,18881.5200,18881520000
AAPL,1999,1999-12-31,19982.7040,19982704000
AAPL,1998,1998-12-31,19270.9440,19270944000
AAPL,1997,1997-12-31,15661.9680,15661968000
AAPL,1996,1996-12-31,13947.5840,13947584000
AAPL,1995,1995-12-31,13775.3280,13775328000
AAPL,1994,1994-12-31,13625.4720,13625472000
AAPL,1993,1993-12-31,13099.0720,13099072000
AAPL,1992,1992-12-31,13481.7910,13481791000
AAPL,1991,1991-12-31,13670.5882,13670588200
AAPL,1990,1990-12-31,13168.7500,13168750000
AAPL,1989,1989-12-31,14560.0000,14560000000
AAPL,1988,1988-12-31,14285.2640,14285264000
AAPL,1987,1987-12-31,14063.2800,14063280000
AAPL,1986,1986-12-31,14260.0640,14260064000
AAPL,1985,1985-12-31,13837.8240,13837824000
MSFT,2022,2022-12-31,7485.0000,7485000000
MSFT,2021,2021-12-31,7555.0000,7555000000
MSFT,2020,2020-12-31,7616.0000,7616000000
MSFT,2019,2019-12-31,7691.0000,7691000000
MSFT,2018,2018-12-31,7768.0000,7768000000
MSFT,2017,2017-12-31,7710.0000,7710000000
MSFT,2016,2016-12-31,7830.0000,7830000000
MSFT,2015,2015-12-31,8028.0000,8028000000
MSFT,2014,2014-12-31,8297.0000,8297000000
MSFT,2013,2013-12-31,8395.0000,8395000000
